Function,Algorithm,Best,Mean,STD_sample_ddof1,Rank_by_Mean,MeanRank_23,FinalRank
F1,SCHO,0.0,0.0,0.0,2.0,2.869565217391304,1.0
F1,GWO,4.779837549451538e-29,9.805881514239521e-28,1.8281450590977823e-27,6.0,4.086956521739131,2.0
F1,ALO,0.00014039829562296176,0.0006286916285153253,0.00047876808135004266,8.0,5.478260869565218,6.0
F1,SCA,0.03633594425516241,8.373641374689887,11.94177261502972,9.0,7.3478260869565215,9.0
F1,SSA,2.2890437164992696e-08,2.5249608620220583e-07,7.731861815209165e-07,7.0,4.6521739130434785,5.0
F1,AOA,0.0,0.0,0.0,2.0,5.608695652173913,7.0
F1,RSA,0.0,0.0,0.0,2.0,4.608695652173913,4.0
F1,SHO,2.2219088860488815e-215,8.119773499838484e-199,0.0,4.0,6.130434782608695,8.0
F1,GJO,6.2287486694922345e-58,1.3274992163798202e-54,3.920758126999609e-54,5.0,4.217391304347826,3.0
F2,SCHO,0.0,0.0,0.0,2.0,2.869565217391304,1.0
F2,GWO,2.806175823337793e-17,9.098967002935348e-17,8.378824478136685e-17,6.0,4.086956521739131,2.0
F2,ALO,6.894508732941703,49.59471764599827,39.153544969997064,9.0,5.478260869565218,6.0
F2,SCA,0.0005116661432842073,0.015020482006093166,0.020297606450266983,7.0,7.3478260869565215,9.0
F2,SSA,0.29849217864073396,2.0984115034833097,1.7372953948747287,8.0,4.6521739130434785,5.0
F2,AOA,0.0,0.0,0.0,2.0,5.608695652173913,7.0
F2,RSA,0.0,0.0,0.0,2.0,4.608695652173913,4.0
F2,SHO,4.681750496750928e-114,6.01426664942133e-105,3.29353874644363e-104,4.0,6.130434782608695,8.0
F2,GJO,1.6650492433726096e-33,1.929748906731768e-32,2.0200157652759734e-32,5.0,4.217391304347826,3.0
F3,SCHO,0.0,0.0,0.0,2.0,2.869565217391304,1.0
F3,GWO,2.4506868302042446e-08,1.6310056824034777e-05,3.403391911892772e-05,6.0,4.086956521739131,2.0
F3,ALO,2256.5250853122175,4787.445817444929,2095.832563211571,8.0,5.478260869565218,6.0
F3,SCA,1062.197343400426,9854.517850122926,5947.568158633268,9.0,7.3478260869565215,9.0
F3,SSA,556.2013085834711,1623.1039143912458,627.8293910702436,7.0,4.6521739130434785,5.0
F3,AOA,0.0,0.0,0.0,2.0,5.608695652173913,7.0
F3,RSA,0.0,0.0,0.0,2.0,4.608695652173913,4.0
F3,SHO,3.0146930909947834e-175,5.83620696051569e-158,3.192743952375559e-157,4.0,6.130434782608695,8.0
F3,GJO,2.824778843115307e-24,7.538773479802854e-18,2.427894428246685e-17,5.0,4.217391304347826,3.0
F4,SCHO,0.0,0.0,0.0,2.0,2.869565217391304,1.0
F4,GWO,6.111312276191063e-08,6.13287698035774e-07,6.630639158515276e-07,6.0,4.086956521739131,2.0
F4,ALO,8.563222391155186,20.322860660921478,5.114325155849848,8.0,5.478260869565218,6.0
F4,SCA,8.113025967535346,32.82703404278207,12.04825577477003,9.0,7.3478260869565215,9.0
F4,SSA,4.023551061894632,13.244152731052923,4.5747593786810175,7.0,4.6521739130434785,5.0
