Function,Algorithm,Runs,Best,Average,STD_sample_ddof1,Rank_by_Average,MeanRank_13,FinalRank,PaperMeanRank,PaperFinalRank,MeanRankDelta,FinalRankMatch
F1,SCHO,30,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1,1.0,True
F1,GWO,30,0.0009145414561245941,0.0016142129187888263,0.0004958697633638812,6.0,4.769230769230769,6.0,4.62,5,0.14923076923076906,False
F1,ALO,30,115247.43747393781,172069.1665321939,40600.07615716951,8.0,7.461538461538462,8.0,7.54,8,-0.07846153846153836,True
F1,SCA,30,114696.1619945425,214158.6322273326,60592.484103609524,9.0,8.538461538461538,9.0,8.23,9,0.3084615384615379,True
F1,SSA,30,74521.46474221894,94989.86835926841,6435.505468659195,7.0,6.6923076923076925,7.0,6.69,7,0.002307692307692122,True
F1,AOA,30,0.0,0.0,0.0,2.0,3.3846153846153846,3.0,5.31,6,-1.925384615384615,False
F1,RSA,30,0.0,0.0,0.0,2.0,3.230769230769231,2.0,2.54,2,0.6907692307692308,True
F1,SHO,30,1.6513015067014647e-189,7.782004087475102e-180,3.0722768570740368e-179,4.0,3.6153846153846154,4.0,3.38,3,0.23538461538461553,False
F1,GJO,30,4.336087253619506e-14,8.62795569138411e-13,1.1313353173435618e-12,5.0,4.3076923076923075,5.0,4.0,4,0.3076923076923075,False
F2,SCHO,30,0.0,8.114903523550659e-217,4.2201779961101366e-216,3.0,3.0,1.0,2.0,1,1.0,True
F2,GWO,30,0.007887394159162724,0.010864160876580776,0.002123964448210297,6.0,4.769230769230769,6.0,4.62,5,0.14923076923076906,False
F2,ALO,30,1136.632330164437,1.1364305023209758e+239,6.224486211581254e+239,9.0,7.461538461538462,8.0,7.54,8,-0.07846153846153836,True
F2,SCA,30,18.452688230399637,95.05466770471025,44.43450769662296,7.0,8.538461538461538,9.0,8.23,9,0.3084615384615379,True
F2,SSA,30,477.0324707789438,539.0112354585585,20.04060633612409,8.0,6.6923076923076925,7.0,6.69,7,0.002307692307692122,True
F2,AOA,30,0.0,0.0,0.0,1.5,3.3846153846153846,3.0,5.31,6,-1.925384615384615,False
F2,RSA,30,0.0,0.0,0.0,1.5,3.230769230769231,2.0,2.54,2,0.6907692307692308,True
F2,SHO,30,4.5531489658164864e-102,9.836290808830308e-97,4.510488911336368e-96,4.0,3.6153846153846154,4.0,3.38,3,0.23538461538461553,False
F2,GJO,30,2.6039632225889703e-09,5.8600772482032874e-09,2.5716373901853726e-09,5.0,4.3076923076923075,5.0,4.0,4,0.3076923076923075,False
F3,SCHO,30,0.0,0.0,0.0,2.0,3.0,1.0,2.0,1,1.0,True
F3,GWO,30,151030.95532242378,308120.6298366411,93056.92996338703,6.0,4.769230769230769,6.0,4.62,5,0.14923076923076906,False
F3,ALO,30,1067198.697280315,1854397.9497876575,566359.2317440117,8.0,7.461538461538462,8.0,7.54,8,-0.07846153846153836,True
F3,SCA,30,4865456.3307183515,7231274.497694145,1572039.730672808,9.0,8.538461538461538,9.0,8.23,9,0.3084615384615379,True
F3,SSA,30,489073.7029162184,1572004.2840659947,761336.2194235387,7.0,6.6923076923076925,7.0,6.69,7,0.002307692307692122,True
F3,AOA,30,0.0,0.0,0.0,2.0,3.3846153846153846,3.0,5.31,6,-1.925384615384615,False
F3,RSA,30,0.0,0.0,0.0,2.0,3.230769230769231,2.0,2.54,2,0.6907692307692308,True
F3,SHO,30,2.0226450277321855e-149,5.959192680414495e-119,3.263799737860205e-118,4.0,3.6153846153846154,4.0,3.38,3,0.23538461538461553,False
F3,GJO,30,562.9704705896933,42008.316665311904,33040.719907880266,5.0,4.3076923076923075,5.0,4.0,4,0.3076923076923075,False
F4,SCHO,30,0.0,5.473629057580931e-207,2.9739256943775174e-206,3.0,3.0,1.0,2.0,1,1.0,True
F4,GWO,30,51.85402671822006,65.1306049821836,5.097675459708942,7.0,4.769230769230769,6.0,4.62,5,0.14923076923076906,False
F4,ALO,30,40.030765985397764,47.71070791098911,4.5540230591047886,6.0,7.461538461538462,8.0,7.54,8,-0.07846153846153836,True
F4,SCA,30,98.619160136134,99.08438080663295,0.24354922346606597,9.0,8.538461538461538,9.0,8.23,9,0.3084615384615379,True
F4,SSA,30,36.02838728260936,40.86408524765199,3.1408614122678906,5.0,6.6923076923076925,7.0,6.69,7,0.002307692307692122,True
F4,AOA,30,0.0,0.0,0.0,1.5,3.3846153846153846,3.0,5.31,6,-1.925384615384615,False
F4,RSA,30,0.0,0.0,0.0,1.5,3.230769230769231,2.0,2.54,2,0.6907692307692308,True
F4,SHO,30,8.736435073379509e-82,4.593389918192854e-78,1.1702711303181406e-77,4.0,3.6153846153846154,4.0,3.38,3,0.23538461538461553,False
F4,GJO,30,73.2990601526572,81.51792907673682,3.9475698060300095,8.0,4.3076923076923075,5.0,4.0,4,0.3076923076923075,False
F5,SCHO,30,498.77110983416117,498.9482682002102,0.07052776394500737,4.0,3.0,1.0,2.0,1,1.0,True
F5,GWO,30,497.08393937303777,498.1174448366133,0.34806393639883476,1.0,4.769230769230769,6.0,4.62,5,0.14923076923076906,False
F5,ALO,30,34292545.57329474,115179889.86082217,50395507.48526623,8.0,7.461538461538462,8.0,7.54,8,-0.07846153846153836,True
F5,SCA,30,1010549030.1549401,1948285937.9232512,426132573.00946504,9.0,8.538461538461538,9.0,8.23,9,0.3084615384615379,True
F5,SSA,30,24855286.778510287,38727806.1761217,5451117.35046271,7.0,6.6923076923076925,7.0,6.69,7,0.002307692307692122,True
F5,AOA,30,499.0,499.0,0.0,5.5,3.3846153846153846,3.0,5.31,6,-1.925384615384615,False
F5,RSA,30,499.0,499.0,0.0,5.5,3.230769230769231,2.0,2.54,2,0.6907692307692308,True
F5,SHO,30,498.83856322869667,498.9220723398812,0.02500809806317306,3.0,3.6153846153846154,4.0,3.38,3,0.23538461538461553,False
F5,GJO,30,497.1111185357059,498.169133054204,0.2704317437012359,2.0,4.3076923076923075,5.0,4.0,4,0.3076923076923075,False
F6,SCHO,30,124.26254372653983,124.63085913633863,0.10487733867892993,4.0,3.0,1.0,2.0,1,1.0,True
F6,GWO,30,88.28348853591493,91.34940968152394,2.067734436968445,1.0,4.769230769230769,6.0,4.62,5,0.14923076923076906,False
F6,ALO,30,106346.23994534824,168365.94693670297,39853.31572720187,8.0,7.461538461538462,8.0,7.54,8,-0.07846153846153836,True
F6,SCA,30,114763.32369377866,216778.54429811236,63658.40900391547,9.0,8.538461538461538,9.0,8.23,9,0.3084615384615379,True
F6,SSA,30,75298.88438599453,95383.09402430123,6236.420605827179,7.0,6.6923076923076925,7.0,6.69,7,0.002307692307692122,True
F6,AOA,30,125.0,125.0,0.0,5.5,3.3846153846153846,3.0,5.31,6,-1.925384615384615,False
F6,RSA,30,125.0,125.0,0.0,5.5,3.230769230769231,2.0,2.54,2,0.6907692307692308,True
F6,SHO,30,121.67041122329428,123.10467487913452,0.5544402553205589,3.0,3.6153846153846154,4.0,3.38,3,0.23538461538461553,False
