Function,Family,SCHO_Median,GWO_Median,U_statistic,p_value_two_sided,alpha,Interpretation
F1,unimodal,8899396.869471218,7966074.451842444,489.0,0.5692201637415295,0.05,No significant difference
F2,unimodal,441244469.09440243,34489.905838508166,810.0,1.0665677738596443e-07,0.05,GWO better
F3,unimodal,16476.40900023453,10916.297065423038,625.0,0.009883401291685813,0.05,GWO better
F4,simple_multimodal,439.1285200933985,435.3125008686179,605.0,0.022360148062659704,0.05,GWO better
F5,simple_multimodal,520.4795561927676,520.5382873647956,318.0,0.05187713105395905,0.05,No significant difference
F6,simple_multimodal,605.8022646759729,602.4636928986222,838.0,1.0104532753263791e-08,0.05,GWO better
F7,simple_multimodal,704.1672103149115,701.1371037511196,791.0,4.801068993625726e-07,0.05,GWO better
F8,simple_multimodal,832.4830254474704,812.4668639452156,865.0,8.890991323298936e-10,0.05,GWO better
F9,simple_multimodal,934.5885847655896,915.5440011840362,763.0,3.83494235931967e-06,0.05,GWO better
F10,simple_multimodal,1516.5232126575522,1323.0897871253517,702.0,0.0002005814957824269,0.05,GWO better
F11,simple_multimodal,2015.2328892528647,1702.1343195891689,671.0,0.0011142564683557646,0.05,GWO better
F12,simple_multimodal,1200.9256491504416,1201.5326193927808,260.0,0.005084221723644087,0.05,SCHO better
F13,simple_multimodal,1300.598088586201,1300.2340243696965,857.0,1.856733730733389e-09,0.05,GWO better
F14,simple_multimodal,1400.7545032636976,1400.308535666762,690.0,0.0003988101938466105,0.05,GWO better
F15,simple_multimodal,1505.1144904822438,1502.1101639699973,884.0,1.4643068877150338e-10,0.05,GWO better
F16,simple_multimodal,1603.4465716451864,1602.9761313899585,744.0,1.4298355871314211e-05,0.05,GWO better
F17,hybrid,288104.1200228557,9412.741033136946,654.0,0.0026242800643638355,0.05,GWO better
F18,hybrid,12266.881440353416,8727.87544968911,472.0,0.7505872315223063,0.05,No significant difference
F19,hybrid,1903.7060795156117,1902.6642111419178,636.0,0.006097142345173947,0.05,GWO better
F20,hybrid,12297.72898948831,10944.700622977161,572.0,0.07244559577423665,0.05,No significant difference
F21,hybrid,12379.08689838251,7108.8981542278825,571.0,0.07482700800490434,0.05,No significant difference
F22,hybrid,2367.2572148374306,2272.9127329790654,637.0,0.005828168439115262,0.05,GWO better
F23,composition,2500.0,2633.771011761581,0.0,1.2117803970059759e-12,0.05,SCHO better
F24,composition,2571.6580794341958,2529.9714598910114,654.0,0.002545593063040787,0.05,GWO better
F25,composition,2700.0,2699.9542507114156,358.0,0.16533202711065786,0.05,No significant difference
F26,composition,2700.426592060564,2700.196292126282,872.0,4.6159103691111474e-10,0.05,GWO better
F27,composition,2900.0,3059.694260250771,30.0,3.359298198132219e-11,0.05,SCHO better
F28,composition,3000.0,3270.6637011464104,0.0,1.2117803970059759e-12,0.05,SCHO better
F29,composition,3975.8996980806032,3911.227242611805,392.0,0.394681850825785,0.05,No significant difference
F30,composition,3200.0,4253.4458301533,217.0,0.0004928565862422593,0.05,SCHO better
