Function,Family,Algorithm,Run,Seed,Population,MaxIter,Dimension,Optimum,BestScore,Error,Curve0,CurveLast,Status
F2,unimodal,GWO,1,1000,30,500,10,200.0,15385.092237911005,15185.092237911005,13034947070.070822,15385.092237911005,PASS
F2,unimodal,GWO,2,1001,30,500,10,200.0,42971.003959496426,42771.003959496426,20743762299.127213,42971.003959496426,PASS
F2,unimodal,GWO,3,1002,30,500,10,200.0,23055.122275735954,22855.122275735954,20274396013.764877,23055.122275735954,PASS
F2,unimodal,GWO,4,1003,30,500,10,200.0,615951087.012243,615950887.012243,20177175449.74516,615951087.012243,PASS
F2,unimodal,GWO,5,1004,30,500,10,200.0,46561380.90552347,46561180.90552347,20149160913.42692,46561380.90552347,PASS
F2,unimodal,GWO,6,1005,30,500,10,200.0,45600.71617823791,45400.71617823791,22926414727.481857,45600.71617823791,PASS
F2,unimodal,GWO,7,1006,30,500,10,200.0,24555.98967885768,24355.98967885768,24968847482.346905,24555.98967885768,PASS
F2,unimodal,GWO,8,1007,30,500,10,200.0,233844140.32706258,233843940.32706258,12462053235.077023,233844140.32706258,PASS
F2,unimodal,GWO,9,1008,30,500,10,200.0,19125.77032378423,18925.77032378423,22633139684.885166,19125.77032378423,PASS
F2,unimodal,GWO,10,1009,30,500,10,200.0,37238.389587366844,37038.389587366844,20891322517.620224,37238.389587366844,PASS
F2,unimodal,GWO,11,1010,30,500,10,200.0,12777.792668070062,12577.792668070062,21050836744.091934,12777.792668070062,PASS
F2,unimodal,GWO,12,1011,30,500,10,200.0,5726.570662994307,5526.570662994307,15379562921.363218,5726.570662994307,PASS
F2,unimodal,GWO,13,1012,30,500,10,200.0,11686.923434373222,11486.923434373222,14367843590.623028,11686.923434373222,PASS
F2,unimodal,GWO,14,1013,30,500,10,200.0,1007239048.1906271,1007238848.1906271,13264659870.942282,1007239048.1906271,PASS
F2,unimodal,GWO,15,1014,30,500,10,200.0,27311.362530912913,27111.362530912913,20842507675.934605,27311.362530912913,PASS
F2,unimodal,GWO,16,1015,30,500,10,200.0,15861.089429942016,15661.089429942016,22119723827.302834,15861.089429942016,PASS
F2,unimodal,GWO,17,1016,30,500,10,200.0,48794.02251782291,48594.02251782291,19786843448.379555,48794.02251782291,PASS
F2,unimodal,GWO,18,1017,30,500,10,200.0,18726.65933297439,18526.65933297439,16874210231.628681,18726.65933297439,PASS
F2,unimodal,GWO,19,1018,30,500,10,200.0,31830.487683502386,31630.487683502386,24809521605.058525,31830.487683502386,PASS
F2,unimodal,GWO,20,1019,30,500,10,200.0,16528.583019560672,16328.583019560672,21154760582.626175,16528.583019560672,PASS
