Function,Family,Algorithm,Runs,Population,MaxIter,Dimension,Optimum,Best,Mean,Std_sample_ddof1,Std_population_ddof0,Worst,BestError,MeanError,WorstError
F1,unimodal,GWO,30,30,500,10,100.0,594947.171501516,10145738.065932522,9124917.245330062,8971546.36854676,40369964.52266919,594847.171501516,10145638.065932522,40369864.52266919
F1,unimodal,SCHO,30,30,500,10,100.0,721101.3188550456,10495924.857032442,7413550.7303670375,7288944.3646297725,35510865.83056153,721001.3188550456,10495824.857032442,35510765.83056153
F2,unimodal,GWO,30,30,500,10,200.0,5726.570662994307,80048591.36953492,218369102.98101956,214698772.62227333,1007239048.1906271,5526.570662994307,80048391.36953492,1007238848.1906271
F2,unimodal,SCHO,30,30,500,10,200.0,1451841.293960168,617110459.188875,717937657.8526831,705870619.3141179,2305305725.4499826,1451641.293960168,617110259.188875,2305305525.4499826
F3,unimodal,GWO,30,30,500,10,300.0,2612.151720826753,11565.371972288134,6847.44828556531,6732.3569242904505,29668.18927681505,2312.151720826753,11265.371972288134,29368.18927681505
F3,unimodal,SCHO,30,30,500,10,300.0,2367.781210831409,14803.38219698929,5081.819902636236,4996.405081529663,22153.73964945612,2067.781210831409,14503.38219698929,21853.73964945612
F4,simple_multimodal,GWO,30,30,500,10,400.0,410.3629104917298,434.16704684737084,6.070526479014252,5.968493557115794,439.48792299924077,10.362910491729792,34.16704684737086,39.487922999240766
F4,simple_multimodal,SCHO,30,30,500,10,400.0,401.77832733601184,459.04075617513837,45.28831935198439,44.5271169147118,571.5969234689154,1.7783273360118415,59.04075617513849,171.5969234689154
F5,simple_multimodal,GWO,30,30,500,10,500.0,520.3369506137678,520.5241654795198,0.0776498279689776,0.0763446958918873,520.6389278028564,20.33695061376784,20.52416547951985,20.638927802856415
F5,simple_multimodal,SCHO,30,30,500,10,500.0,520.2452698288237,520.4866195482815,0.1018496694988032,0.10013778842732111,520.7102750232261,20.245269828823666,20.486619548281514,20.71027502322613
F6,simple_multimodal,GWO,30,30,500,10,600.0,600.777388155634,602.6292216973252,1.1859215292102936,1.1659886553177372,606.5117692484735,0.7773881556339575,2.629221697325079,6.511769248473456
F6,simple_multimodal,SCHO,30,30,500,10,600.0,601.5760334008145,605.7899275577389,1.6907429170824375,1.662325045814531,608.5514239456909,1.576033400814481,5.78992755773894,8.551423945690885
F7,simple_multimodal,GWO,30,30,500,10,700.0,700.313443158519,701.4386084810874,0.8421409370384716,0.8279862997506865,703.8647892230357,0.3134431585190214,1.438608481087446,3.8647892230357
F7,simple_multimodal,SCHO,30,30,500,10,700.0,701.0359807402466,718.8875530242933,29.360253943685365,28.866769151565418,846.0625839638952,1.0359807402466004,18.88755302429344,146.06258396389524
F8,simple_multimodal,GWO,30,30,500,10,800.0,804.0324104056708,812.7521129366746,5.0413379871728425,4.956603582852697,823.8871403121193,4.0324104056708165,12.752112936674564,23.8871403121193
F8,simple_multimodal,SCHO,30,30,500,10,800.0,813.09944526815,831.6380061382962,10.71638423677378,10.536264110513798,853.855229270361,13.09944526815002,31.63800613829618,53.85522927036095
F9,simple_multimodal,GWO,30,30,500,10,900.0,906.0895294634452,918.5275505062567,10.013998984930067,9.845684493616533,951.3925947578922,6.08952946344516,18.52755050625661,51.3925947578922
F9,simple_multimodal,SCHO,30,30,500,10,900.0,909.918503879428,936.3061569703145,14.413641660359723,14.171378328029663,967.0701331276908,9.918503879428044,36.306156970314525,67.07013312769084
F10,simple_multimodal,GWO,30,30,500,10,1000.0,1139.9061284893987,1357.2721420646583,186.88811333405675,183.7469129229417,1813.271078021618,139.90612848939872,357.2721420646578,813.271078021618
F10,simple_multimodal,SCHO,30,30,500,10,1000.0,1185.5987614405803,1568.7547785654535,245.6307699593116,241.50222768974777,2235.068982984062,185.59876144058035,568.7547785654534,1235.0689829840621
F11,simple_multimodal,GWO,30,30,500,10,1100.0,1125.8071333961134,1674.5075105573899,272.2594610190029,267.6833458470649,2218.49085081078,25.807133396113386,574.50751055739,1118.49085081078
