algorithm,problem,problem_name,dim,n_constraints,runs,feasible_runs,feasible_rate,no_feasible_runs,structural_failures,best_feasible,mean_feasible,median_feasible,std_feasible_sample,worst_feasible,penalized_best_all_runs,penalized_mean_all_runs,penalized_std_all_runs_sample,penalized_worst_all_runs,paper_reported_f,reference_note
GWO,spring,Tension/compression spring,3,4,30,26,0.8666666666666667,4,0,0.012692516407914283,0.012979213567445231,0.012862854843055356,0.0003454436933611863,0.013790228006511317,0.012692516407914283,1.3333333333333333e+29,3.4574590364176044e+29,1e+30,0.0126656,
SCHO,spring,Tension/compression spring,3,4,30,30,1.0,0,0,0.012712848052512578,0.015105737595905546,0.01444965740372141,0.002249286552066996,0.01979931479525741,0.012712848052512578,0.015105737595905546,0.002249286552066996,0.01979931479525741,0.0126656,
GWO,pressure_vessel,Pressure vessel,4,4,30,30,1.0,0,0,5898.4678701803205,6231.549910164333,5940.394434988435,516.8674718420913,7335.187958062274,5898.4678701803205,6231.549910164333,516.8674718420913,7335.187958062274,5889.0061,
SCHO,pressure_vessel,Pressure vessel,4,4,30,30,1.0,0,0,6013.651106649038,6468.606986202766,6401.785453556829,302.01380329809456,7333.829582605371,6013.651106649038,6468.606986202766,302.01380329809456,7333.829582605371,5889.0061,
GWO,welded_beam,Welded beam,4,7,30,18,0.6,12,0,1.7274722284009805,1.9274345329282088,1.7308734925156422,0.5329902806731686,3.641306279443997,1.7274722284009805,4.0000000000000004e+29,4.9827287912243975e+29,1e+30,1.72516,
SCHO,welded_beam,Welded beam,4,7,30,19,0.6333333333333333,11,0,1.7330028379242222,2.070887786828994,1.9031731870596282,0.458117067475596,3.46407168912587,1.7330028379242222,3.666666666666667e+29,4.9013251785356096e+29,1e+30,1.72516,
GWO,speed_reducer,Speed reducer,7,11,30,1,0.03333333333333333,29,0,3003.9357065388617,3003.9357065388617,3003.9357065388617,nan,3003.9357065388617,3003.9357065388617,9.666666666666664e+29,1.8257418583505537e+29,1e+30,2995.2477,
SCHO,speed_reducer,Speed reducer,7,11,30,14,0.4666666666666667,16,0,3008.618944818137,3082.6210733677935,3015.4199235915366,245.30006681253806,3934.6771775778725,3008.618944818137,5.333333333333334e+29,5.074162634049249e+29,1e+30,2995.2477,
GWO,cantilever_printed,Cantilever beam (paper-printed objective),5,1,30,30,1.0,0,0,13.01247099241513,13.01402150519611,13.013789391481268,0.0009669856812667041,13.015693389377772,13.01247099241513,13.01402150519611,0.0009669856812667041,13.015693389377772,1.3033,Paper-printed cantilever objective; Table 20 is internally inconsistent by about a factor of 10.
SCHO,cantilever_printed,Cantilever beam (paper-printed objective),5,1,30,30,1.0,0,0,13.014853185106109,13.022372533914961,13.021293396426998,0.006553286021203247,13.041928224515857,13.014853185106109,13.022372533914961,0.006553286021203247,13.041928224515857,1.3033,Paper-printed cantilever objective; Table 20 is internally inconsistent by about a factor of 10.
GWO,three_bar_truss,Three-bar truss,2,3,30,30,1.0,0,0,263.8977230964168,263.9079531410012,263.9045539599257,0.012860678733967608,263.951367670712,263.8977230964168,263.9079531410012,0.012860678733967608,263.951367670712,263.8958476,
SCHO,three_bar_truss,Three-bar truss,2,3,30,30,1.0,0,0,263.8968799870654,263.91678963082705,263.9056667444223,0.026456902875986135,264.01367868585953,263.8968799870654,263.91678963082705,0.026456902875986135,264.01367868585953,263.8958476,
