problem,problem_name,algorithm,runs,feasible_runs,feasible_rate,best_feasible,mean_feasible,median_feasible,std_feasible_sample,worst_feasible,paper_reported_f,paper_x_recomputed_f,paper_x_feasible_under_frozen_formulation,comparison_basis,best_minus_paper,best_gap_percent,diagnostic_best_0p06224,diagnostic_mean_0p06224,diagnostic_best_minus_table20,diagnostic_best_gap_percent,note
spring,Tension/compression spring,GWO,30,26,0.8666666666666667,0.012692516407914283,0.012979213567445231,0.012862854843055356,0.0003454436933611863,0.013790228006511317,0.0126656,0.01266555468872954,True,DIRECT_SAME_FROZEN_FORMULATION,2.6916407914282306e-05,0.21251585328987418,nan,nan,nan,nan,
spring,Tension/compression spring,SCHO,30,30,1.0,0.012712848052512578,0.015105737595905546,0.01444965740372141,0.002249286552066996,0.01979931479525741,0.0126656,0.01266555468872954,True,DIRECT_SAME_FROZEN_FORMULATION,4.7248052512577354e-05,0.37304235498181965,nan,nan,nan,nan,
pressure_vessel,Pressure vessel,GWO,30,30,1.0,5898.4678701803205,6231.549910164333,5940.394434988435,516.8674718420913,7335.187958062274,5889.0061,5889.007514253748,True,DIRECT_SAME_FROZEN_FORMULATION,9.461770180320855,0.16066837119290564,nan,nan,nan,nan,
pressure_vessel,Pressure vessel,SCHO,30,30,1.0,6013.651106649038,6468.606986202766,6401.785453556829,302.01380329809456,7333.829582605371,5889.0061,5889.007514253748,True,DIRECT_SAME_FROZEN_FORMULATION,124.6450066490388,2.11657119270158,nan,nan,nan,nan,
welded_beam,Welded beam,GWO,30,18,0.6,1.7274722284009805,1.9274345329282088,1.7308734925156422,0.5329902806731686,3.641306279443997,1.72516,1.7251268261087125,True,DIRECT_SAME_FROZEN_FORMULATION,0.002312228400980443,0.13402979439474846,nan,nan,nan,nan,
welded_beam,Welded beam,SCHO,30,19,0.6333333333333333,1.7330028379242222,2.070887786828994,1.9031731870596282,0.458117067475596,3.46407168912587,1.72516,1.7251268261087125,True,DIRECT_SAME_FROZEN_FORMULATION,0.007842837924222135,0.4546151037713681,nan,nan,nan,nan,
speed_reducer,Speed reducer,GWO,30,1,0.03333333333333333,3003.9357065388617,3003.9357065388617,3003.9357065388617,nan,3003.9357065388617,2995.2477,2995.2486420186924,True,DIRECT_SAME_FROZEN_FORMULATION,8.688006538861828,0.29005970153526295,nan,nan,nan,nan,
speed_reducer,Speed reducer,SCHO,30,14,0.4666666666666667,3008.618944818137,3082.6210733677935,3015.4199235915366,245.30006681253806,3934.6771775778725,2995.2477,2995.2486420186924,True,DIRECT_SAME_FROZEN_FORMULATION,13.371244818137257,0.4464153271242728,nan,nan,nan,nan,
cantilever_printed,Cantilever beam (paper-printed objective),GWO,30,30,1.0,13.01247099241513,13.01402150519611,13.013789391481268,0.0009669856812667041,13.015693389377772,1.3033,13.03262032,True,FORMULA_MISMATCH_NOT_DIRECT,nan,nan,1.301247099241513,1.3014021505196112,-0.002052900758486853,-0.15751559567918771,"Primary F4 uses printed coefficient 0.6224. Diagnostic columns multiply objective by 0.1, equivalent to coefficient 0.06224 with the SAME printed constraint. This is an explicitly labelled assumption, not a paper-confirmed correction."
cantilever_printed,Cantilever beam (paper-printed objective),SCHO,30,30,1.0,13.014853185106109,13.022372533914961,13.021293396426998,0.006553286021203247,13.041928224515857,1.3033,13.03262032,True,FORMULA_MISMATCH_NOT_DIRECT,nan,nan,1.301485318510611,1.302237253391496,-0.001814681489388903,-0.13923743492587304,"Primary F4 uses printed coefficient 0.6224. Diagnostic columns multiply objective by 0.1, equivalent to coefficient 0.06224 with the SAME printed constraint. This is an explicitly labelled assumption, not a paper-confirmed correction."
three_bar_truss,Three-bar truss,GWO,30,30,1.0,263.8977230964168,263.9079531410012,263.9045539599257,0.012860678733967608,263.951367670712,263.8958476,263.89584755962545,True,DIRECT_SAME_FROZEN_FORMULATION,0.0018754964168010702,0.0007106956906892497,nan,nan,nan,nan,
three_bar_truss,Three-bar truss,SCHO,30,30,1.0,263.8968799870654,263.91678963082705,263.9056667444223,0.026456902875986135,264.01367868585953,263.8958476,263.89584755962545,True,DIRECT_SAME_FROZEN_FORMULATION,0.0010323870653792255,0.0003912100454661437,nan,nan,nan,nan,
