Function,Runs,Population,MaxIter,Mean,Std,Best,Worst,Theoretical_Optimum,Paper_Mean,Mean_Difference,Abs_Mean_Difference
F1,30,30,500,9.805881514239521e-28,1.797417743653428e-27,4.779837549451538e-29,8.502161363171172e-27,0.0,6.59e-28,3.2158815142395216e-28,3.2158815142395216e-28
F2,30,30,500,9.098967002935348e-17,8.237993868710295e-17,2.806175823337793e-17,4.925703688669989e-16,0.0,7.18e-17,1.9189670029353472e-17,1.9189670029353472e-17
F3,30,30,500,1.6310056824034777e-05,3.346187973760475e-05,2.4506868302042446e-08,0.000138154121388714,0.0,3.29e-06,1.3020056824034777e-05,1.3020056824034777e-05
F4,30,30,500,6.13287698035774e-07,6.519191907648904e-07,6.111312276191063e-08,2.9582642596092998e-06,0.0,5.61e-07,5.2287698035773974e-08,5.2287698035773974e-08
F5,30,30,500,26.897595543384316,0.7560628408489872,25.757382486116324,28.74889843265107,0.0,26.81258,0.0850155433843156,0.0850155433843156
F6,30,30,500,0.660144056030857,0.35956691447636413,0.00010423191477717052,1.500636863869796,0.0,0.816579,-0.15643494396914304,0.15643494396914304
F7,30,30,500,0.002198866405043812,0.0010385420076986748,0.0007899069430191537,0.004267607811247649,0.0,0.002213,-1.413359495618799e-05,1.413359495618799e-05
F8,30,30,500,-5798.071281670803,689.4924161999708,-7424.167106642665,-4175.179704033309,-12569.487,-6123.1,325.02871832919755,325.02871832919755
F9,30,30,500,3.2791628819010947,3.8671176064871005,0.0,15.281385123171463,0.0,0.310521,2.9686418819010947,2.9686418819010947
F10,30,30,500,1.0063061495202419e-13,1.6924246973293907e-14,6.794564910705958e-14,1.354472090042691e-13,0.0,1.06e-13,-5.3693850479758164e-15,5.3693850479758164e-15
F11,30,30,500,0.002842732105494498,0.006802862393861884,0.0,0.025658328511727557,0.0,0.004485,-0.0016422678945055024,0.0016422678945055024
F12,30,30,500,0.04737360661521252,0.018195471340450457,0.017366526754018105,0.09250887343886105,0.0,0.053438,-0.006064393384787481,0.006064393384787481
F13,30,30,500,0.5791880166109363,0.21155849072084948,0.20411585593748885,0.954532902667668,0.0,0.654464,-0.07527598338906372,0.07527598338906372
F14,30,30,500,4.487022111380957,4.338164471188403,0.9980038377957854,12.670505811135914,1.0,4.042493,0.4445291113809571,0.4445291113809571
F15,30,30,500,0.003859943730096754,0.007387700080236517,0.0003088560933697006,0.020363343964893154,0.0003,0.000337,0.003522943730096754,0.003522943730096754
F16,30,30,500,-1.0316284299468077,2.252542583158205e-08,-1.0316284520708647,-1.0316283689673846,-1.0316,-1.03163,1.5700531923457106e-06,1.5700531923457106e-06
F17,30,30,500,0.39794749290321907,0.000311455840370881,0.39788740880273465,0.39962466250287143,0.397887,0.397889,5.849290321907619e-05,5.849290321907619e-05
F18,30,30,500,3.000021238395611,2.3201231338859114e-05,3.0000002147529057,3.0000962894815966,3.0,3.000028,-6.761604388838549e-06,6.761604388838549e-06
F19,30,30,500,-3.8606796114968946,0.0030015615438440772,-3.8627791816728667,-3.854901256777379,-3.8628,-3.86263,0.0019503885031051382,0.0019503885031051382
F20,30,30,500,-3.2740174885077735,0.06678632632467942,-3.3223660288345034,-3.083157757994308,-3.322,-3.28654,0.012522511492226496,0.012522511492226496
F21,30,30,500,-9.814392267919146,1.2604656589206618,-10.152642355649999,-5.097899122988528,-10.1532,-10.1514,0.33700773208085444,0.33700773208085444
F22,30,30,500,-10.40108978793703,0.0008553492834052535,-10.40244261859603,-10.398998193203063,-10.4028,-10.4015,0.00041021206297031654,0.00041021206297031654
F23,30,30,500,-10.53452647265656,0.0012435245755791082,-10.535983397845063,-10.53080155616459,-10.5363,-10.5343,-0.00022647265656061677,0.00022647265656061677
