Variant,Function,SCHO_Average,Variant_Average,Comparison,SCHO_Credit,Variant_Credit,AbsoluteMeanDifference
V1,F1,0.0,0.0,TIE,1,1,0.0
V1,F2,0.0,0.0,TIE,1,1,0.0
V1,F3,0.0,0.0,TIE,1,1,0.0
V1,F4,0.0,3.4194e-320,TIE,1,1,3.4194e-320
V1,F5,28.283975086321448,28.234617631221973,V1,0,1,0.04935745509947509
V1,F6,0.305809620717497,0.32213913795618065,SCHO,1,0,0.016329517238683644
V1,F7,0.00011541545651241324,0.00011649339951263803,SCHO,1,0,1.0779430002247852e-06
V1,F8,-7330.687973555046,-7021.6364071526705,SCHO,1,0,309.0515664023751
V1,F9,0.0,0.0,TIE,1,1,0.0
V1,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V1,F11,0.0,0.0,TIE,1,1,0.0
V1,F12,0.27797407424104503,0.22647912280330404,V1,0,1,0.05149495143774099
V1,F13,1.349836846029414,1.3497678113430103,V1,0,1,6.903468640362398e-05
V1,F14,3.53865122915854,3.5386512291671566,TIE,1,1,8.616662938720765e-12
V1,F15,0.000327086928171355,0.007046251806695478,SCHO,1,0,0.006719164878524123
V1,F16,-1.0316284300630985,-1.0316284493030368,V1,0,1,1.9239938309212334e-08
V1,F17,0.3978903317325324,0.3978877151897233,V1,0,1,2.6165428090862974e-06
V1,F18,7.5819672299431655,3.0920064457910423,V1,0,1,4.489960784152123
V1,F19,-3.8618902001976454,-3.862385492884796,V1,0,1,0.0004952926871504282
V1,F20,-3.268115527450003,-3.2681155933958337,V1,0,1,6.594583057406567e-08
V1,F21,-8.796057576788064,-8.79481375604857,SCHO,1,0,0.001243820739492918
V1,F22,-9.33642620256563,-9.336559216322572,V1,0,1,0.00013301375694219075
V1,F23,-9.125356316648064,-9.046071936404433,SCHO,1,0,0.0792843802436316
V2,F1,0.0,0.0,TIE,1,1,0.0
V2,F2,0.0,0.0,TIE,1,1,0.0
V2,F3,0.0,0.0,TIE,1,1,0.0
V2,F4,0.0,0.0,TIE,1,1,0.0
V2,F5,28.283975086321448,28.29529600540076,SCHO,1,0,0.01132091907931354
V2,F6,0.305809620717497,0.31653171591261337,SCHO,1,0,0.010722095195116355
V2,F7,0.00011541545651241324,0.00011485532243249342,V2,0,1,5.601340799198231e-07
V2,F8,-7330.687973555046,-6949.4349598373365,SCHO,1,0,381.2530137177091
V2,F9,0.0,0.0,TIE,1,1,0.0
V2,F10,4.440892098500626e-16,4.440892098500626e-16,TIE,1,1,0.0
V2,F11,0.0,0.0,TIE,1,1,0.0
V2,F12,0.27797407424104503,0.22904251642176598,V2,0,1,0.04893155781927905
V2,F13,1.349836846029414,1.3433834070562176,V2,0,1,0.006453438973196279
V2,F14,3.53865122915854,3.5386512292904606,TIE,1,1,1.3192069658884975e-10
V2,F15,0.000327086928171355,0.008951171875683157,SCHO,1,0,0.008624084947511802
V2,F16,-1.0316284300630985,-1.0316284300630985,TIE,1,1,0.0
V2,F17,0.3978903317325324,0.39789035274202955,SCHO,1,0,2.1009497142010503e-08
V2,F18,7.5819672299431655,8.144435524388488,SCHO,1,0,0.5624682944453223
V2,F19,-3.8618902001976454,-3.861890200197645,TIE,1,1,4.440892098500626e-16
V2,F20,-3.268115527450003,-3.268115527450003,TIE,1,1,0.0
V2,F21,-8.796057576788064,-8.790073878223051,SCHO,1,0,0.005983698565012574
V2,F22,-9.33642620256563,-9.333861305909684,SCHO,1,0,0.0025648966559455033
V2,F23,-9.125356316648064,-9.119532439541844,SCHO,1,0,0.00582387710622001
V3,F1,0.0,0.0,TIE,1,1,0.0
V3,F2,0.0,0.0,TIE,1,1,0.0
V3,F3,0.0,0.0,TIE,1,1,0.0
V3,F4,0.0,9.4e-323,TIE,1,1,9.4e-323
V3,F5,28.283975086321448,28.28395310155917,V3,0,1,2.1984762277327263e-05
V3,F6,0.305809620717497,0.3037356300704194,V3,0,1,0.0020739906470775837
V3,F7,0.00011541545651241324,0.00011541545651241326,TIE,1,1,1.3552527156068805e-20
V3,F8,-7330.687973555046,-7350.326871752662,V3,0,1,19.638898197616072
V3,F9,0.0,0.0,TIE,1,1,0.0
