Variant,ReproSCHO,ReproVariant,ReproTies,PaperSCHO,PaperVariant,SCHO_Delta,Variant_Delta,AbsSCHO_Delta,AbsVariant_Delta,ReproDirection,PaperDirection,DirectionStatus,PaperImpliedOverlapIfDualCredit
V1,14,17,8,18,15,-4,2,4,2,VARIANT,SCHO,REVERSED,10
V2,20,14,11,20,13,0,1,0,1,SCHO,SCHO,SAME_DIRECTION,10
V3,17,17,11,17,15,0,2,0,2,TIE,SCHO,REPRO_TIE,9
V4,14,16,7,17,14,-3,2,3,2,VARIANT,SCHO,REVERSED,8
V5,19,16,12,17,16,2,0,2,0,SCHO,SCHO,SAME_DIRECTION,10
V6,15,15,7,18,14,-3,1,3,1,TIE,SCHO,REPRO_TIE,9
V7,17,15,9,20,13,-3,2,3,2,SCHO,SCHO,SAME_DIRECTION,10
V8,16,17,10,20,11,-4,6,4,6,VARIANT,SCHO,REVERSED,8
V9,16,14,7,18,9,-2,5,2,5,SCHO,SCHO,SAME_DIRECTION,4
V10,18,17,12,20,13,-2,4,2,4,SCHO,SCHO,SAME_DIRECTION,10
V11,19,20,16,18,15,1,5,1,5,VARIANT,SCHO,REVERSED,10
