Function,Dimension,Runs,Population,MaxIter,Best,Mean,Std_sample_ddof1,Std_population_ddof0,Median,Worst,Optimum,PaperBest,PaperMean,PaperStd,BestGap,MeanGap,StdGap,MeanRatio_repro_over_paper,MeanErrorFromOptimum,PaperMeanErrorFromOptimum,MeanErrorRatio
F1,100,30,30,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan
F2,100,30,30,500,0.0,4.27114858166035e-262,0.0,0.0,0.0,1.2619727104344096e-260,0.0,0.0,7.576e-263,0.0,0.0,3.5135485816603503e-262,0.0,5.637735720248614,4.27114858166035e-262,7.576e-263,5.637735720248614
F3,100,30,30,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan
F4,100,30,30,500,0.0,6.35646047068111e-251,0.0,0.0,0.0,1.9051755958897238e-249,0.0,0.0,4.243e-249,0.0,0.0,-4.1794353952931885e-249,0.0,0.014981052252371225,6.35646047068111e-251,4.243e-249,0.014981052252371225
F5,100,30,30,500,98.7709304055945,98.89215441081205,0.09436240432861577,0.09277636860925986,98.94814535317644,98.98018638776692,0.0,98.75,98.87,0.1004,0.020930405594498325,0.02215441081204972,-0.006037595671384233,1.0002240761688284,98.89215441081205,98.87,1.0002240761688284
F6,100,30,30,500,0.2364773242692726,12.667422784802788,8.083445439391628,7.947579537144245,16.487427885504786,22.052349387475832,0.0,0.0001466,8.562,8.137,0.2363307242692726,4.105422784802789,-0.05355456060837227,1.4794934343380972,12.667422784802788,8.562,1.4794934343380972
F7,100,30,30,500,1.8115181587008422e-06,7.193890143068213e-05,7.183563441035451e-05,7.062822683200751e-05,4.580303732113537e-05,0.0003001291673419004,0.0,5.429e-07,7.285e-05,5.388e-05,1.2686181587008423e-06,-9.110985693178608e-07,1.795563441035451e-05,0.987493499391656,7.193890143068213e-05,7.285e-05,0.987493499391656
F8,100,30,30,500,-32054.13671641041,-14398.201548524758,6645.043289261736,6533.353934921713,-11401.3507928121,-9321.639173198566,-41898.28999999999,-39260.0,-18560.0,9867.0,7205.863283589591,4161.7984514752425,-3221.9567107382636,0.7757651696403426,27500.088451475236,23338.289999999994,1.1783249094717412
F9,100,30,30,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan
F10,100,30,30,500,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,4.441e-16,4.441e-16,0.0,-1.0790149937342648e-20,-1.0790149937342648e-20,0.0,0.9999757033327238,4.440892098500626e-16,4.441e-16,0.9999757033327238
F11,100,30,30,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,nan
F12,100,30,30,500,1.8179150184817717e-08,0.9171758559995229,0.504895179843306,0.49640894217842624,1.1222029139351561,1.3195144364928777,0.0,9.093e-10,0.6876,0.6422,1.7269850184817716e-08,0.2295758559995229,-0.13730482015669399,1.333879953460621,0.9171758559995229,0.6876,1.333879953460621
