Function,Dimension,Runs,ReproBest,ReproMean,ReproStdSample,ReproMedian,ReproWorst,PaperBest,PaperMean,PaperStd,OptimumMetadata,MeanRatioReproOverPaper,MeanAbsoluteGap,MeanErrorFromOptimum,PaperMeanErrorFromOptimum,AgreementClass
F1,100,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,NEAR_ZERO_AGREEMENT
F2,100,30,0.0,4.271148580219354e-262,0.0,0.0,1.26197271e-260,0.0,7.576e-263,0.0,0.0,nan,3.513548580219354e-262,4.271148580219354e-262,7.576e-263,NEAR_ZERO_AGREEMENT
F3,100,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,NEAR_ZERO_AGREEMENT
F4,100,30,0.0,6.356460471048905e-251,0.0,0.0,1.905175596e-249,0.0,4.243e-249,0.0,0.0,nan,-4.1794353952895106e-249,6.356460471048905e-251,4.243e-249,NEAR_ZERO_AGREEMENT
F5,100,30,98.77093041,98.89215441100002,0.09436240282598278,98.94814535,98.98018639,98.75,98.87,0.1004,0.0,1.0002240761707295,0.022154411000016694,98.89215441100002,98.87,WITHIN_25_PERCENT
F6,100,30,0.2364773243,12.66742278467,8.08344543947253,16.487427885000002,22.05234939,0.0001466,8.562,8.137,0.0,1.4794934343225883,4.105422784670001,12.66742278467,8.562,WITHIN_FACTOR_2
F7,100,30,1.811518159e-06,7.193890143066666e-05,7.183563440795131e-05,4.5803037320000004e-05,0.0003001291673,5.429e-07,7.285e-05,5.388e-05,0.0,0.9874934993914436,-9.110985693333378e-07,7.193890143066666e-05,7.285e-05,WITHIN_25_PERCENT
F8,100,30,-32054.13672,-14398.201547833334,6645.043290607242,-11401.35079,-9321.639173,-39260.0,-18560.0,9867.0,-41898.28999999999,0.7757651696030892,4161.798452166666,27500.08845216666,23338.289999999994,WITHIN_25_PERCENT
F9,100,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,NEAR_ZERO_AGREEMENT
F10,100,30,4.440892099e-16,4.440892099000002e-16,2.0058667097386624e-31,4.440892099e-16,4.440892099e-16,4.441e-16,4.441e-16,0.0,0.0,nan,-1.0790099999784942e-20,4.440892099000002e-16,4.441e-16,NEAR_ZERO_AGREEMENT
F11,100,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,NEAR_ZERO_AGREEMENT
F12,100,30,1.817915018e-08,0.9171758559668803,0.5048951798209128,1.122202914,1.319514436,9.093e-10,0.6876,0.6422,0.0,1.3338799534131478,0.22957585596688035,0.9171758559668803,0.6876,WITHIN_FACTOR_2
F13,100,30,9.793805395,9.880470448333332,0.031211110434770414,9.893533745500001,9.911040452,1.024,9.58,1.616,0.0,1.0313643474251912,0.30047044833333203,9.880470448333332,9.58,WITHIN_25_PERCENT
F1,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,NEAR_ZERO_AGREEMENT
F2,500,30,0.0,8.114903523419926e-217,0.0,3.815432421043584e-266,2.313574437e-215,0.0,3.513e-211,0.0,0.0,nan,-3.5129918850964767e-211,8.114903523419926e-217,3.513e-211,NEAR_ZERO_AGREEMENT
F3,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,NEAR_ZERO_AGREEMENT
F4,500,30,0.0,5.473629056081156e-207,0.0,4.5679990119137505e-240,1.62928095e-205,0.0,1.492e-204,0.0,0.0,nan,-1.4865263709439189e-204,5.473629056081156e-207,1.492e-204,NEAR_ZERO_AGREEMENT
F5,500,30,498.7711098,498.9482681999999,0.07052776257941198,498.97553000000005,498.9849973,498.8,499.0,0.052,0.0,0.9998963290581161,-0.05173180000008415,498.9482681999999,499.0,WITHIN_25_PERCENT
F6,500,30,124.2625437,124.63085914,0.10487734064362206,124.6126393,124.7620484,124.2,124.6,0.1481,0.0,1.0002476656500803,0.030859140000004004,124.63085914,124.6,WITHIN_25_PERCENT
F7,500,30,1.060784867e-06,0.00010036465473460001,9.74010318448529e-05,9.07619629e-05,0.00045231011,4.091e-06,8.216e-05,6.352e-05,0.0,1.221575641852483,1.820465473460001e-05,0.00010036465473460001,8.216e-05,WITHIN_25_PERCENT
F8,500,30,-209344.0022,-45451.96837466665,38066.419444118845,-32353.989439999998,-19427.90116,-194400.0,-62820.0,51050.0,-209491.44999999998,0.723527035572535,17368.03162533335,164039.48162533334,146671.44999999998,WITHIN_FACTOR_2
F9,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,NEAR_ZERO_AGREEMENT
F10,500,30,4.440892099e-16,4.440892099000002e-16,2.0058667097386624e-31,4.440892099e-16,4.440892099e-16,4.441e-16,4.441e-16,0.0,0.0,nan,-1.0790099999784942e-20,4.440892099000002e-16,4.441e-16,NEAR_ZERO_AGREEMENT
F11,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,NEAR_ZERO_AGREEMENT
F12,500,30,6.084422921e-06,1.1609902562807644,0.21928608814786418,1.2016395135,1.203678071,9.54e-08,1.04,0.415,0.0,1.1163367848853503,0.12099025628076432,1.1609902562807644,1.04,WITHIN_25_PERCENT
F13,500,30,49.69265013,49.876346450333344,0.046270439965250085,49.890407085,49.90682895,28.21,49.16,3.957,0.0,1.0145717341402227,0.7163464503333472,49.876346450333344,49.16,WITHIN_25_PERCENT
