Dimension,Function,Algorithm,Runs,Best,Average,STD_sample_ddof1,Rank_by_Average
100,F1,SCHO,30,0.0,0.0,0.0,2.0
100,F1,GWO,30,2.1137240904269285e-13,1.213037236468124e-12,8.816885879702072e-13,6.0
100,F1,ALO,30,650.858743090363,2490.5727979632957,1318.2642213641325,8.0
100,F1,SCA,30,1558.52154457342,10546.076221733798,6572.276128539742,9.0
100,F1,SSA,30,694.9362451984599,1386.4035930013538,388.37257255915324,7.0
100,F1,AOA,30,0.0,0.0,0.0,2.0
100,F1,RSA,30,0.0,0.0,0.0,2.0
100,F1,SHO,30,2.4333980762633285e-197,1.2898825405512023e-187,5.792193430724579e-187,4.0
100,F1,GJO,30,5.688960715702074e-30,6.266083922904467e-28,8.363986154553092e-28,5.0
100,F2,SCHO,30,0.0,4.27114858166035e-262,2.3030842129741975e-261,3.0
100,F2,GWO,30,1.8233033066062203e-08,4.0010358529933975e-08,1.3396659196100965e-08,6.0
100,F2,ALO,30,86.6686158309354,77865440439.58626,426459674382.8844,9.0
100,F2,SCA,30,0.03996834627049112,9.866726925167942,11.05312697434524,7.0
100,F2,SSA,30,34.11329370860151,46.52990473805233,6.924072200512093,8.0
100,F2,AOA,30,0.0,0.0,0.0,1.5
100,F2,RSA,30,0.0,0.0,0.0,1.5
100,F2,SHO,30,1.3073421155301133e-106,2.279330188570466e-102,4.354363938904542e-102,4.0
100,F2,GJO,30,1.800806863352947e-18,1.1170295761187682e-17,6.889725647314112e-18,5.0
100,F3,SCHO,30,0.0,0.0,0.0,2.0
100,F3,GWO,30,61.207484283934676,667.128040266677,612.2244501487367,6.0
100,F3,ALO,30,32661.11561892,73597.45483223615,29353.75839855415,8.0
100,F3,SCA,30,151339.2888528072,240336.59025749654,60525.28269780006,9.0
100,F3,SSA,30,19142.46407600179,56382.99462824964,23039.878873190664,7.0
100,F3,AOA,30,0.0,0.0,0.0,2.0
100,F3,RSA,30,0.0,0.0,0.0,2.0
100,F3,SHO,30,2.240296614299302e-157,1.1616317550587516e-140,6.23465477390459e-140,4.0
100,F3,GJO,30,1.6483513613105467e-06,2.029212310246952,5.765204994313892,5.0
100,F4,SCHO,30,0.0,6.35646047068111e-251,3.478249342603819e-250,3.0
100,F4,GWO,30,0.18665531101987698,0.8172174023939113,0.849011168147265,5.0
100,F4,ALO,30,25.32766157109451,35.17582618612117,4.532420576152149,8.0
100,F4,SCA,30,85.7184897958282,90.02288983570857,2.4455426867895858,9.0
100,F4,SSA,30,23.719926461156795,29.126925778892495,4.4041559637901235,7.0
100,F4,AOA,30,0.0,0.0,0.0,1.5
100,F4,RSA,30,0.0,0.0,0.0,1.5
100,F4,SHO,30,4.138860899641211e-87,3.608943321788903e-82,1.3625538713902203e-81,4.0
100,F4,GJO,30,0.0012636950266457312,7.3602382067492576,12.879089696755596,6.0
100,F5,SCHO,30,98.7709304055945,98.89215441081205,0.09436240432861594,3.0
100,F5,GWO,30,96.06364085945299,97.86212524231148,0.71055839322817,1.0
100,F5,ALO,30,81195.46714484187,558576.6937203675,519405.93582181196,8.0
100,F5,SCA,30,37056117.555454776,111426647.2976766,48144227.92133822,9.0
100,F5,SSA,30,71446.71258283348,154004.90485461277,76413.01340981506,7.0
100,F5,AOA,30,99.0,99.0,0.0,5.5
100,F5,RSA,30,99.0,99.0,0.0,5.5
100,F5,SHO,30,98.88712488211618,98.9331238897698,0.018466546301413665,4.0
100,F5,GJO,30,97.09498105121999,98.33672829476556,0.3696403973462991,2.0
100,F6,SCHO,30,0.2364773242692726,12.667422784802788,8.083445439391628,2.0
100,F6,GWO,30,7.257921503052499,10.016626157221848,1.0113245917313232,1.0
100,F6,ALO,30,740.6426008592167,2606.988371669764,1358.0016856159036,8.0
100,F6,SCA,30,1283.1068455968602,10756.623405621276,6917.61697109988,9.0
100,F6,SSA,30,724.6519210528146,1420.9699925800157,361.67342243804796,7.0
100,F6,AOA,30,24.90182985110419,24.995069906309833,0.019810778215001955,6.0
100,F6,RSA,30,24.27101026947604,24.975700342315868,0.1330947065325284,5.0
100,F6,SHO,30,21.837776892127863,23.357769565427184,0.5906336047795852,4.0
100,F6,GJO,30,14.894699566279636,16.392500519704463,0.7866464506029245,3.0
100,F7,SCHO,30,1.8115181587008422e-06,7.193890143068213e-05,7.183563441035451e-05,3.0
100,F7,GWO,30,0.0032166292317265086,0.00758977196456541,0.0025898154210320557,6.0
100,F7,ALO,30,2.7775462104952418,4.8312498313887025,1.6808633618026567,8.0
100,F7,SCA,30,40.90958000945259,142.20571271886152,78.35373429705011,9.0
100,F7,SSA,30,1.778012965399576,2.62110438580641,0.5523325229167493,7.0
100,F7,AOA,30,8.023193960315922e-07,6.399854999849334e-05,6.463723518740827e-05,2.0
100,F7,RSA,30,1.8115181587008422e-06,0.00011612476077302128,0.00011853596300649444,4.0
100,F7,SHO,30,2.4194884868339813e-06,5.7397729786235443e-05,4.5435995530902724e-05,1.0
100,F7,GJO,30,0.00020418018931445754,0.0013065756070519247,0.0007891693618129751,5.0
100,F8,SCHO,30,-32054.13671641041,-14398.201548524758,6645.043289261736,5.0
100,F8,GWO,30,-19511.971697084304,-15612.245047027403,2914.9791571910946,4.0
100,F8,ALO,30,-18058.915853139177,-18058.91585313918,0.0,2.0
100,F8,SCA,30,-7822.528644459231,-6789.424871756362,380.0493039021048,7.0
100,F8,SSA,30,-24692.466975231946,-21622.554468937746,1758.8170571095654,1.0
100,F8,AOA,30,-7535.850609091951,-5334.712238323557,974.9679059725519,9.0
100,F8,RSA,30,-17910.99740352144,-16314.343937544601,947.5861342106967,3.0
100,F8,SHO,30,-7541.738381205541,-5419.576127568749,969.0348804872816,8.0
100,F8,GJO,30,-17136.024094971493,-10225.021775243526,3858.1536787000337,6.0
100,F9,SCHO,30,0.0,0.0,0.0,3.0
100,F9,GWO,30,6.434692778611861e-10,11.385090467286032,7.618881939436712,6.0
100,F9,ALO,30,205.7785324321034,294.8906064817317,52.89001434582366,8.0
100,F9,SCA,30,108.84422693659758,299.3796244349925,125.86349715971777,9.0
100,F9,SSA,30,168.39675548866407,245.85823467951562,42.69646794156583,7.0
100,F9,AOA,30,0.0,0.0,0.0,3.0
100,F9,RSA,30,0.0,0.0,0.0,3.0
100,F9,SHO,30,0.0,0.0,0.0,3.0
100,F9,GJO,30,0.0,0.0,0.0,3.0
100,F10,SCHO,30,4.440892098500626e-16,4.440892098500626e-16,0.0,2.0
100,F10,GWO,30,5.238987244027271e-08,1.3280763827931233e-07,5.027558663064308e-08,6.0
100,F10,ALO,30,11.944535497710186,14.572350183806574,1.2655054957686953,8.0
100,F10,SCA,30,7.5450717494347685,19.173729595686805,3.7365421663858527,9.0
100,F10,SSA,30,8.404489858031656,10.023823815169296,0.8061857582737614,7.0
100,F10,AOA,30,4.440892098500626e-16,4.440892098500626e-16,0.0,2.0
100,F10,RSA,30,4.440892098500626e-16,4.440892098500626e-16,0.0,2.0
100,F10,SHO,30,4.440892098500626e-16,6.809367884367627e-16,9.013523499222573e-16,4.0
100,F10,GJO,30,3.952393967665557e-14,5.337952302397753e-14,1.4524383887663068e-14,5.0
100,F11,SCHO,30,0.0,0.0,0.0,3.0
100,F11,GWO,30,8.615330671091215e-14,0.006036731773285982,0.011293998540221525,6.0
100,F11,ALO,30,6.792055054686506,23.518562469404447,12.272683207139286,8.0
100,F11,SCA,30,15.026693901160577,95.91468599560446,59.15048515685765,9.0
100,F11,SSA,30,7.254426206786138,13.477632337012189,3.495353153032381,7.0
100,F11,AOA,30,0.0,0.0,0.0,3.0
100,F11,RSA,30,0.0,0.0,0.0,3.0
100,F11,SHO,30,0.0,0.0,0.0,3.0
100,F11,GJO,30,0.0,0.0,0.0,3.0
100,F12,SCHO,30,1.8179150184817717e-08,0.9171758559995229,0.504895179843306,3.0
100,F12,GWO,30,0.18159843377170717,0.31252446610856127,0.06568347607391176,1.0
100,F12,ALO,30,61.50477863914094,610.434732793841,1342.2357163888323,8.0
100,F12,SCA,30,116838797.58206779,330309019.67509943,166084522.45073572,9.0
