Function,Variant,Average,Rank
F1,SCHO,0.0,1
F1,SCHO_NT,0.0,1
F1,SCHO_NSTF,0.0,1
F1,SCHO_NFTF,3.746839842547809e-12,6
F1,SCHO_NSF,0.0,1
F1,SCHO_NFF,1.6429202846007633e-12,5
F2,SCHO,0.0,1
F2,SCHO_NT,0.0,1
F2,SCHO_NSTF,0.0,1
F2,SCHO_NFTF,2.5660176424933466e-08,6
F2,SCHO_NSF,0.0,1
F2,SCHO_NFF,1.1745540520771482e-08,5
F3,SCHO,0.0,1
F3,SCHO_NT,0.0,1
F3,SCHO_NSTF,0.0,1
F3,SCHO_NFTF,0.2758184837393614,6
F3,SCHO_NSF,0.0,1
F3,SCHO_NFF,0.13367770713438692,5
F4,SCHO,0.0,1
F4,SCHO_NT,0.0,1
F4,SCHO_NSTF,0.0,1
F4,SCHO_NFTF,0.0070483187340849235,6
F4,SCHO_NSF,0.0,1
F4,SCHO_NFF,0.0018523558290975957,5
F5,SCHO,28.28397508632145,4
F5,SCHO_NT,28.25460761686448,3
F5,SCHO_NSTF,28.771710155138077,5
F5,SCHO_NFTF,28.02506389659168,1
F5,SCHO_NSF,28.773717756937064,6
F5,SCHO_NFF,28.02506389659168,1
F6,SCHO,0.30580962071749707,1
F6,SCHO_NT,2.2850356893260604,4
F6,SCHO_NSTF,3.554917654698884,6
F6,SCHO_NFTF,2.494023579804056,5
F6,SCHO_NSF,1.264287397791307,2
F6,SCHO_NFF,1.352693582944236,3
F7,SCHO,0.00011541545651241324,3
F7,SCHO_NT,0.0001154154565202693,4
F7,SCHO_NSTF,0.00011485531679202853,1
F7,SCHO_NFTF,0.0077699595989360075,6
F7,SCHO_NSF,0.00011485531679202853,1
F7,SCHO_NFF,0.0023505920757088974,5
F8,SCHO,-7330.6879735550465,1
F8,SCHO_NT,-5468.7912280903665,5
F8,SCHO_NSTF,-5660.913301658583,4
F8,SCHO_NFTF,-4012.5366689948514,6
F8,SCHO_NSF,-7261.982202825205,2
F8,SCHO_NFF,-5974.105732795912,3
F9,SCHO,0.0,1
F9,SCHO_NT,0.0,1
F9,SCHO_NSTF,0.0,1
F9,SCHO_NFTF,1.9236479217616924,6
F9,SCHO_NSF,0.0,1
F9,SCHO_NFF,0.2601250910609367,5
F10,SCHO,4.440892098500626e-16,1
F10,SCHO_NT,4.440892098500626e-16,1
F10,SCHO_NSTF,4.440892098500626e-16,1
F10,SCHO_NFTF,4.026393509271031e-07,6
F10,SCHO_NSF,4.440892098500626e-16,1
F10,SCHO_NFF,2.0368053717708298e-07,5
F11,SCHO,0.0,1
F11,SCHO_NT,0.0,1
F11,SCHO_NSTF,0.0,1
F11,SCHO_NFTF,0.019059620520163852,6
F11,SCHO_NSF,0.0,1
F11,SCHO_NFF,0.013769961410848111,5
F12,SCHO,0.27797407424104503,3
F12,SCHO_NT,0.396071293807566,4
F12,SCHO_NSTF,1.1359064638172656,6
F12,SCHO_NFTF,0.25012812684142605,2
F12,SCHO_NSF,0.6531862721367879,5
F12,SCHO_NFF,0.044507925731124616,1
F13,SCHO,1.349836846029414,2
F13,SCHO_NT,2.031519195592769,4
F13,SCHO_NSTF,2.509265244030361,6
F13,SCHO_NFTF,1.7704999413992921,3
F13,SCHO_NSF,2.0385096544177754,5
F13,SCHO_NFF,1.1316637568357881,1
F14,SCHO,3.5386512291585395,2
F14,SCHO_NT,6.14269839242738,5
F14,SCHO_NSTF,7.182197151531825,6
F14,SCHO_NFTF,5.10516249176056,4
F14,SCHO_NSF,4.903655891100574,3
F14,SCHO_NFF,2.8266211416200515,1
F15,SCHO,0.000327086928171355,1
F15,SCHO_NT,0.0007653522047186616,4
F15,SCHO_NSTF,0.008893652240512659,5
F15,SCHO_NFTF,0.0005545787591681351,3
F15,SCHO_NSF,0.010779126550844944,6
F15,SCHO_NFF,0.00042031728345866205,2
F16,SCHO,-1.0316284300630985,1
F16,SCHO_NT,-1.0316284300630985,1
F16,SCHO_NSTF,-1.0316284235220772,3
F16,SCHO_NFTF,-1.031626463934001,5
F16,SCHO_NSF,-1.0316284235220772,3
F16,SCHO_NFF,-1.031626463934001,5
F17,SCHO,0.3978903317325324,3
F17,SCHO_NT,0.39789035274202955,4
F17,SCHO_NSTF,0.397889112579139,1
F17,SCHO_NFTF,0.3981099915064109,5
F17,SCHO_NSF,0.397889112579139,1
F17,SCHO_NFF,0.3981099915064109,5
F18,SCHO,7.581967229943165,3
F18,SCHO_NT,7.581967229943165,3
F18,SCHO_NSTF,8.897108637972,5
F18,SCHO_NFTF,3.000011932737938,1
F18,SCHO_NSF,8.897108637972,5
F18,SCHO_NFF,3.000011932737938,1
F19,SCHO,-3.8618902001976454,3
F19,SCHO_NT,-3.8618902001976454,3
F19,SCHO_NSTF,-3.8625164397918734,1
F19,SCHO_NFTF,-3.859491455672783,5
F19,SCHO_NSF,-3.8625164397918734,1
F19,SCHO_NFF,-3.859491455672783,5
F20,SCHO,-3.268115527450003,3
F20,SCHO_NT,-3.268115527450003,3
F20,SCHO_NSTF,-3.2781456031288743,1
F20,SCHO_NFTF,-3.1768619292488895,5
F20,SCHO_NSF,-3.2781456031288743,1
F20,SCHO_NFF,-3.1768619292488895,5
F21,SCHO,-8.796057576788062,1
F21,SCHO_NT,-5.796103234466854,6
F21,SCHO_NSTF,-6.035080370953485,5
F21,SCHO_NFTF,-6.515525040472598,4
F21,SCHO_NSF,-8.791707984830953,2
F21,SCHO_NFF,-7.874931544405743,3
F22,SCHO,-9.33642620256563,2
F22,SCHO_NT,-5.886024807423391,5
F22,SCHO_NSTF,-5.884649612062054,6
F22,SCHO_NFTF,-7.04048877080452,4
F22,SCHO_NSF,-9.337115871663707,1
F22,SCHO_NFF,-8.332467490559404,3
F23,SCHO,-9.125356316648064,2
F23,SCHO_NT,-5.1330838188507375,6
F23,SCHO_NSTF,-5.635730350449879,5
F23,SCHO_NFTF,-6.612276962063126,4
F23,SCHO_NSF,-9.66012499112494,1
F23,SCHO_NFF,-7.58412240239901,3
