Variant,Function,Runs,Population,MaxIter,Dimension,Optimum,Best,Average,STD_sample_ddof1,STD_population_ddof0,Median,Worst
SCHO,F1,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO,F2,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO,F3,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO,F4,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO,F5,30,30,500,30,0.0,26.056079496446586,28.28397508632145,0.7170736582065113,0.7050211417046628,28.64996281544036,28.98419468962295
SCHO,F6,30,30,500,30,0.0,9.254089880824617e-06,0.30580962071749707,0.712376753322505,0.7004031820210196,0.03765921359450068,2.7956258237024305
SCHO,F7,30,30,500,30,0.0,4.9591094465339935e-06,0.00011541545651241324,0.0001138745391933453,0.00011196054507703526,7.908190161015627e-05,0.00057313278933524
SCHO,F8,30,30,500,30,-12569.487,-12569.042163397447,-7330.6879735550465,2735.461573464441,2689.4841548589206,-5971.476683462198,-4098.901904184803
SCHO,F9,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO,F10,30,30,500,30,0.0,4.440892098500626e-16,4.440892098500626e-16,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16
SCHO,F11,30,30,500,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHO,F12,30,30,500,30,0.0,2.4508597262262492e-09,0.27797407424104503,0.45750534993647596,0.44981563672962804,1.3293752101512104e-06,1.602113482030724
SCHO,F13,30,30,500,30,0.0,1.427470895374975e-07,1.349836846029414,1.0009939459073949,0.984169319994523,1.7544567025241515,2.914760975937687
SCHO,F14,30,30,500,2,1.0,0.9980038377956877,3.5386512291585395,4.246782794346455,4.175403209944142,0.9980038385337332,12.670505811135914
SCHO,F15,30,30,500,4,0.0003,0.0003077648582130732,0.000327086928171355,1.8054233568453238e-05,1.775077945949008e-05,0.0003211329667508688,0.0003771212160948164
SCHO,F16,30,30,500,2,-1.0316,-1.0316284528078135,-1.0316284300630985,2.4104000853274904e-08,2.3698862741283347e-08,-1.0316284384435512,-1.0316283570820304
SCHO,F17,30,30,500,2,0.397887,0.39788743113709835,0.3978903317325324,2.9792837484746484e-06,2.929208186318329e-06,0.39788944539483406,0.39789845819345615
SCHO,F18,30,30,500,2,3.0,3.0000000138307645,7.581967229943165,15.585037851471096,15.323085785965587,3.000002359612611,84.00012105996721
SCHO,F19,30,30,500,3,-3.8628,-3.8627797611179417,-3.8618902001976454,0.0023684505685034494,0.0023286418414166163,-3.8627731630460733,-3.8549007510179267
SCHO,F20,30,30,500,6,-3.322,-3.3221333126080093,-3.268115527450003,0.07706500785902956,0.07576970539141537,-3.321617941744566,-3.0768526050382383
SCHO,F21,30,30,500,4,-10.1532,-10.1531965737984,-8.796057576788062,2.2798134412463646,2.2414945198813236,-10.146243784186378,-5.05514902826489
