Function,Family,Algorithm,Seed,Population,MaxIter,Optimum,BestScore,Error,Curve0,CurveLast,Status
F1,unimodal,GWO,1000,30,500,100.0,15701456.185016885,15701356.185016885,525544194.8462026,15701456.185016885,PASS
F1,unimodal,SCHO,1000,30,500,100.0,4804407.336969936,4804307.336969936,805304096.2058247,4804407.336969936,PASS
F2,unimodal,GWO,1000,30,500,200.0,15385.092237911005,15185.092237911005,13034947070.070822,15385.092237911005,PASS
F2,unimodal,SCHO,1000,30,500,200.0,3463847.4596960344,3463647.4596960344,25164020473.95309,3463847.4596960344,PASS
F3,unimodal,GWO,1000,30,500,300.0,25321.908802666814,25021.908802666814,19967857.191806484,25321.908802666814,PASS
F3,unimodal,SCHO,1000,30,500,300.0,18068.37332171433,17768.37332171433,3743135.139342113,18068.37332171433,PASS
F4,simple_multimodal,GWO,1000,30,500,400.0,418.9814039192273,18.98140391922732,5972.540477920869,418.9814039192273,PASS
F4,simple_multimodal,SCHO,1000,30,500,400.0,408.1546400308654,8.15464003086538,1279.3723425874587,408.1546400308654,PASS
F5,simple_multimodal,GWO,1000,30,500,500.0,520.6389278028564,20.638927802856415,521.3700130378112,520.6389278028564,PASS
F5,simple_multimodal,SCHO,1000,30,500,500.0,520.480991657192,20.48099165719202,521.3718079458313,520.480991657192,PASS
F6,simple_multimodal,GWO,1000,30,500,600.0,601.5465126515119,1.5465126515118754,614.1260948567484,601.5465126515119,PASS
F6,simple_multimodal,SCHO,1000,30,500,600.0,606.3680311127547,6.368031112754693,615.0607774258649,606.3680311127547,PASS
F7,simple_multimodal,GWO,1000,30,500,700.0,703.0408787610442,3.040878761044155,1113.5794417130076,703.0408787610442,PASS
F7,simple_multimodal,SCHO,1000,30,500,700.0,729.1094339806868,29.109433980686845,1000.2224784111067,729.1094339806868,PASS
F8,simple_multimodal,GWO,1000,30,500,800.0,819.257080405622,19.25708040562199,931.7399167914457,819.257080405622,PASS
F8,simple_multimodal,SCHO,1000,30,500,800.0,825.6425965584388,25.642596558438754,898.015207350122,825.6425965584388,PASS
F9,simple_multimodal,GWO,1000,30,500,900.0,917.289901605578,17.289901605578052,1042.5651990189845,917.289901605578,PASS
F9,simple_multimodal,SCHO,1000,30,500,900.0,924.0963670073054,24.09636700730539,1025.1436054134977,924.0963670073054,PASS
F10,simple_multimodal,GWO,1000,30,500,1000.0,1224.033507398377,224.03350739837697,3990.4978795189254,1224.033507398377,PASS
F10,simple_multimodal,SCHO,1000,30,500,1000.0,1454.222197054456,454.22219705445605,4055.906826817653,1454.222197054456,PASS
F11,simple_multimodal,GWO,1000,30,500,1100.0,2010.6586181895345,910.6586181895345,3950.455504351527,2010.6586181895345,PASS
F11,simple_multimodal,SCHO,1000,30,500,1100.0,2583.427170116018,1483.4271701160178,4032.7889447479106,2583.427170116018,PASS
F12,simple_multimodal,GWO,1000,30,500,1200.0,1200.2246969465161,0.2246969465161328,1208.014403906647,1200.2246969465161,PASS
F12,simple_multimodal,SCHO,1000,30,500,1200.0,1200.992178298554,0.9921782985541086,1206.0313562696247,1200.992178298554,PASS
F13,simple_multimodal,GWO,1000,30,500,1300.0,1300.2631380004118,0.2631380004118,1306.6837813737102,1300.2631380004118,PASS
F13,simple_multimodal,SCHO,1000,30,500,1300.0,1300.3216683052956,0.32166830529558865,1306.1691554657157,1300.3216683052956,PASS
F14,simple_multimodal,GWO,1000,30,500,1400.0,1400.615256008634,0.6152560086341055,1485.2876721578784,1400.615256008634,PASS
F14,simple_multimodal,SCHO,1000,30,500,1400.0,1400.7758032420277,0.7758032420276777,1433.3806704335957,1400.7758032420277,PASS
F15,simple_multimodal,GWO,1000,30,500,1500.0,1501.5079128175512,1.507912817551187,632029.5917141397,1501.5079128175512,PASS
F15,simple_multimodal,SCHO,1000,30,500,1500.0,1875.1608562032138,375.1608562032138,435822.2667636709,1875.1608562032138,PASS
F16,simple_multimodal,GWO,1000,30,500,1600.0,1602.6187778303845,2.618777830384488,1604.3789234874732,1602.6187778303845,PASS
F16,simple_multimodal,SCHO,1000,30,500,1600.0,1603.2762702840782,3.2762702840782367,1604.6022262263511,1603.2762702840782,PASS
F17,hybrid,GWO,1000,30,500,1700.0,9430.560220916843,7730.560220916843,29116830.33401849,9430.560220916843,PASS
F17,hybrid,SCHO,1000,30,500,1700.0,6237.893461796275,4537.893461796275,72413789.21174915,6237.893461796275,PASS
F18,hybrid,GWO,1000,30,500,1800.0,8032.364750846751,6232.364750846751,137696814.09807912,8032.364750846751,PASS
F18,hybrid,SCHO,1000,30,500,1800.0,15815.51022970619,14015.51022970619,103691241.31287572,15815.51022970619,PASS
F19,hybrid,GWO,1000,30,500,1900.0,1902.5902613658363,2.5902613658363407,2018.9900006150158,1902.5902613658363,PASS
F19,hybrid,SCHO,1000,30,500,1900.0,1906.2762111215952,6.2762111215952245,1989.0876219041713,1906.2762111215952,PASS
F20,hybrid,GWO,1000,30,500,2000.0,5327.579603832446,3327.579603832446,89766.60897282837,5327.579603832446,PASS
F20,hybrid,SCHO,1000,30,500,2000.0,19070.762646007846,17070.762646007846,12478755.24072417,19070.762646007846,PASS
F21,hybrid,GWO,1000,30,500,2100.0,6664.231801915964,4564.231801915964,5100469.601982614,6664.231801915964,PASS
F21,hybrid,SCHO,1000,30,500,2100.0,22294.104140215168,20194.104140215168,10575783.307658168,22294.104140215168,PASS
F22,hybrid,GWO,1000,30,500,2200.0,2241.169694564615,41.16969456461493,2984.111856984569,2241.169694564615,PASS
F22,hybrid,SCHO,1000,30,500,2200.0,2414.7602114564706,214.76021145647064,3287.1712443379447,2414.7602114564706,PASS
F23,composition,GWO,1000,30,500,2300.0,2634.5728737204677,334.57287372046767,3214.5609770685155,2634.5728737204677,PASS
F23,composition,SCHO,1000,30,500,2300.0,2500.0,200.0,3282.0098177831915,2500.0,PASS
F24,composition,GWO,1000,30,500,2400.0,2600.008840698078,200.00884069807807,2660.466044478747,2600.008840698078,PASS
F24,composition,SCHO,1000,30,500,2400.0,2600.0,200.0,2653.8618019453456,2600.0,PASS
F25,composition,GWO,1000,30,500,2500.0,2701.4368723973125,201.43687239731253,2716.269675226157,2701.4368723973125,PASS
F25,composition,SCHO,1000,30,500,2500.0,2700.0,200.0,2728.071747988728,2700.0,PASS
F26,composition,GWO,1000,30,500,2600.0,2700.196697447,100.19669744700013,2722.8165810769688,2700.196697447,PASS
F26,composition,SCHO,1000,30,500,2600.0,2700.5305222509787,100.53052225097872,2710.2661925746133,2700.5305222509787,PASS
F27,composition,GWO,1000,30,500,2700.0,3049.7122366188305,349.7122366188305,3335.205785364481,3049.7122366188305,PASS
F27,composition,SCHO,1000,30,500,2700.0,2900.0,200.0,3457.43827794969,2900.0,PASS
F28,composition,GWO,1000,30,500,2800.0,3265.035841266876,465.0358412668761,4741.90861852663,3265.035841266876,PASS
F28,composition,SCHO,1000,30,500,2800.0,3000.0,200.0,5083.874979882922,3000.0,PASS
F29,composition,GWO,1000,30,500,2900.0,3278.072771638337,378.07277163833714,79431984.18850426,3278.072771638337,PASS
F29,composition,SCHO,1000,30,500,2900.0,3995.692304120099,1095.692304120099,43917178.76757629,3995.692304120099,PASS
F30,composition,GWO,1000,30,500,3000.0,3826.3197707802256,826.3197707802256,1167202.6949406925,3826.3197707802256,PASS
F30,composition,SCHO,1000,30,500,3000.0,4680.04910195585,1680.0491019558503,100132.80846801901,4680.04910195585,PASS
