Function,Family,Algorithm,Run,Seed,Population,MaxIter,Dimension,Optimum,BestScore,Error,Curve0,CurveLast,Status
F1,unimodal,GWO,1,1000,30,500,10,100.0,15701456.185016885,15701356.185016885,525544194.8462026,15701456.185016885,PASS
F1,unimodal,GWO,2,1001,30,500,10,100.0,7635103.098989573,7635003.098989573,765655579.9091232,7635103.098989573,PASS
F1,unimodal,GWO,3,1002,30,500,10,100.0,16439098.440149643,16438998.440149643,803159181.791137,16439098.440149643,PASS
F1,unimodal,GWO,4,1003,30,500,10,100.0,6947248.014137132,6947148.014137132,189397860.85401616,6947248.014137132,PASS
F1,unimodal,GWO,5,1004,30,500,10,100.0,4675397.755328292,4675297.755328292,219931687.08870643,4675397.755328292,PASS
F1,unimodal,GWO,6,1005,30,500,10,100.0,8787382.690521002,8787282.690521002,144916671.23925203,8787382.690521002,PASS
F1,unimodal,GWO,7,1006,30,500,10,100.0,594947.171501516,594847.171501516,851891962.8743827,594947.171501516,PASS
F1,unimodal,GWO,8,1007,30,500,10,100.0,8371511.212777115,8371411.212777115,461456701.3488441,8371511.212777115,PASS
F1,unimodal,GWO,9,1008,30,500,10,100.0,2246362.326293699,2246262.326293699,1411371436.9693708,2246362.326293699,PASS
F1,unimodal,GWO,10,1009,30,500,10,100.0,6869722.15774474,6869622.15774474,1353036338.557272,6869722.15774474,PASS
F1,unimodal,GWO,11,1010,30,500,10,100.0,3142956.193011005,3142856.193011005,284961625.24854267,3142956.193011005,PASS
F1,unimodal,GWO,12,1011,30,500,10,100.0,17553956.911458172,17553856.911458172,399011829.59632754,17553956.911458172,PASS
F1,unimodal,GWO,13,1012,30,500,10,100.0,7789978.946552753,7789878.946552753,593118284.7605963,7789978.946552753,PASS
F1,unimodal,GWO,14,1013,30,500,10,100.0,8922314.783236029,8922214.783236029,630881910.9764771,8922314.783236029,PASS
F1,unimodal,GWO,15,1014,30,500,10,100.0,12922300.67908112,12922200.67908112,623711513.1936637,12922300.67908112,PASS
F1,unimodal,GWO,16,1015,30,500,10,100.0,13417466.49158233,13417366.49158233,855290075.000464,13417466.49158233,PASS
F1,unimodal,GWO,17,1016,30,500,10,100.0,8166834.291873063,8166734.291873063,783845758.3672874,8166834.291873063,PASS
F1,unimodal,GWO,18,1017,30,500,10,100.0,7499712.101479959,7499612.101479959,429726612.3386396,7499712.101479959,PASS
F1,unimodal,GWO,19,1018,30,500,10,100.0,2053393.2074863687,2053293.2074863687,2106387548.647602,2053393.2074863687,PASS
F1,unimodal,GWO,20,1019,30,500,10,100.0,2682790.513021803,2682690.513021803,121369351.90638322,2682790.513021803,PASS
F1,unimodal,GWO,21,1020,30,500,10,100.0,16215686.569993827,16215586.569993827,524426750.62365365,16215686.569993827,PASS
F1,unimodal,GWO,22,1021,30,500,10,100.0,9781337.806996452,9781237.806996452,1132299059.188591,9781337.806996452,PASS
F1,unimodal,GWO,23,1022,30,500,10,100.0,3712422.5377123184,3712322.5377123184,176600628.5929951,3712422.5377123184,PASS
F1,unimodal,GWO,24,1023,30,500,10,100.0,38018744.437870815,38018644.437870815,102988326.9320162,38018744.437870815,PASS
F1,unimodal,GWO,25,1024,30,500,10,100.0,11578236.893282395,11578136.893282395,1145681555.3618402,11578236.893282395,PASS
F1,unimodal,GWO,26,1025,30,500,10,100.0,4809855.63545171,4809755.63545171,347062691.9029218,4809855.63545171,PASS
