algorithm,problem,problem_name,dim,n_constraints,seed,N,MaxIter,penalty,feasibility_tolerance,paper_reported_f,best_fitness,raw_objective,feasible,within_bounds,max_violation,curve_start,curve_end,curve_len,elapsed_seconds,status,message,x1,x2,x3,x4,x5,x6,x7
GWO,spring,Tension/compression spring,3,4,1000,30,500,1e+30,1e-08,0.0126656,0.013231749739207854,0.013231749739207854,True,True,0.0,1e+30,0.013231749739207854,500,0.536228500015568,PASS,,0.05733771694787034,0.5079849165256248,5.922927253668614,,,,
GWO,spring,Tension/compression spring,3,4,1001,30,500,1e+30,1e-08,0.0126656,1e+30,2.658206997068342,False,True,0.9999995121312618,1e+30,1e+30,500,0.5059363999753259,NO_FEASIBLE_FOUND,Best fitness stayed at the death penalty.,1.2445601107114044,0.2664854912113481,4.439964499465086,,,,
GWO,spring,Tension/compression spring,3,4,1002,30,500,1e+30,1e-08,0.0126656,0.01272729586177704,0.01272729586177704,True,True,0.0,1e+30,0.01272729586177704,500,0.5061513999826275,PASS,,0.05,0.3173348367281642,14.04273390592727,,,,
GWO,spring,Tension/compression spring,3,4,1003,30,500,1e+30,1e-08,0.0126656,0.012730173047302923,0.012730173047302923,True,True,0.0,0.13191602651294804,0.012730173047302923,500,0.5389823999721557,PASS,,0.05021333088253324,0.3222062224816275,13.669759168835848,,,,
GWO,spring,Tension/compression spring,3,4,1004,30,500,1e+30,1e-08,0.0126656,0.012854945522472516,0.012854945522472516,True,True,0.0,0.2027835875035584,0.012854945522472516,500,0.5182698999997228,PASS,,0.0546861569237714,0.43257250058505425,7.937028255169807,,,,
GWO,spring,Tension/compression spring,3,4,1005,30,500,1e+30,1e-08,0.0126656,0.013216765839385558,0.013216765839385558,True,True,0.0,1e+30,0.013216765839385558,500,0.5183562000165693,PASS,,0.05734806470737242,0.5086838305310257,5.900229898111722,,,,
GWO,spring,Tension/compression spring,3,4,1006,30,500,1e+30,1e-08,0.0126656,0.013139815855291729,0.013139815855291729,True,True,0.0,1e+30,0.013139815855291729,500,0.5111427000374533,PASS,,0.05691656181977747,0.49594916749591383,6.178521470437009,,,,
GWO,spring,Tension/compression spring,3,4,1007,30,500,1e+30,1e-08,0.0126656,0.012870764163638197,0.012870764163638197,True,True,0.0,1e+30,0.012870764163638197,500,0.522594999987632,PASS,,0.05492832910410766,0.4393081191484211,7.710516408547782,,,,
GWO,spring,Tension/compression spring,3,4,1008,30,500,1e+30,1e-08,0.0126656,0.013150320752044113,0.013150320752044113,True,True,0.0,1e+30,0.013150320752044113,500,0.5224433999974281,PASS,,0.05690594191112966,0.4955328757215039,6.194994016458775,,,,
GWO,spring,Tension/compression spring,3,4,1009,30,500,1e+30,1e-08,0.0126656,1e+30,0.0707478076748526,False,True,0.9882984041143624,1e+30,1e+30,500,0.5130866999970749,NO_FEASIBLE_FOUND,Best fitness stayed at the death penalty.,0.1601759010042066,0.5932613670565049,2.648069006951577,,,,
