Function,Canonical,Variant,Run,Seed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F24,CF1,source_faithful,1,1000,30,500,10,-5.0,5.0,0.0,3.1605380190394134,671.8171538983893,3.1605380190394134,2.6860010999953374,PASS
F24,CF1,source_faithful,2,1001,30,500,10,-5.0,5.0,0.0,103.28040630790545,546.7474276143615,103.28040630790545,3.0110999000025913,PASS
F24,CF1,source_faithful,3,1002,30,500,10,-5.0,5.0,0.0,204.6226861111358,731.0186664376465,204.6226861111358,2.827413599996362,PASS
F24,CF1,source_faithful,4,1003,30,500,10,-5.0,5.0,0.0,312.3969586436302,766.9752942253772,312.3969586436302,2.7712821000022814,PASS
F24,CF1,source_faithful,5,1004,30,500,10,-5.0,5.0,0.0,200.00835814597983,571.440916017512,200.00835814597983,2.746175399995991,PASS
F24,CF1,source_faithful,6,1005,30,500,10,-5.0,5.0,0.0,200.0061051245395,679.5507740037733,200.0061051245395,2.742110599996522,PASS
F24,CF1,source_faithful,7,1006,30,500,10,-5.0,5.0,0.0,200.00428420371088,786.9025244643867,200.00428420371088,2.7410210999951232,PASS
F24,CF1,source_faithful,8,1007,30,500,10,-5.0,5.0,0.0,0.47968529790374614,370.0742730660426,0.47968529790374614,2.7332105999958003,PASS
F24,CF1,source_faithful,9,1008,30,500,10,-5.0,5.0,0.0,4.061763604828908,729.4094484730604,4.061763604828908,2.7253999000095064,PASS
F24,CF1,source_faithful,10,1009,30,500,10,-5.0,5.0,0.0,100.33773839246909,541.5470491817505,100.33773839246909,2.7170610000030138,PASS
F24,CF1,source_faithful,11,1010,30,500,10,-5.0,5.0,0.0,2.0056724036903577,682.35946636001,2.0056724036903577,2.712446799996542,PASS
F24,CF1,source_faithful,12,1011,30,500,10,-5.0,5.0,0.0,200.04369123496085,425.14131505517,200.04369123496085,2.7190623999922536,PASS
F24,CF1,source_faithful,13,1012,30,500,10,-5.0,5.0,0.0,4.566964397699738,655.6803802318142,4.566964397699738,2.7026692000072217,PASS
F24,CF1,source_faithful,14,1013,30,500,10,-5.0,5.0,0.0,200.10749644555852,572.8089180369896,200.10749644555852,2.705965599991032,PASS
F24,CF1,source_faithful,15,1014,30,500,10,-5.0,5.0,0.0,3.2256547359448344,755.4346220425027,3.2256547359448344,2.7834257000067737,PASS
F24,CF1,source_faithful,16,1015,30,500,10,-5.0,5.0,0.0,103.0049900680878,483.3506187248755,103.0049900680878,2.722376900012023,PASS
F24,CF1,source_faithful,17,1016,30,500,10,-5.0,5.0,0.0,5.179973452191209,605.0562096156358,5.179973452191209,2.707889899989823,PASS
F24,CF1,source_faithful,18,1017,30,500,10,-5.0,5.0,0.0,100.07327021742397,679.3326872228694,100.07327021742397,2.6973960000032093,PASS
F24,CF1,source_faithful,19,1018,30,500,10,-5.0,5.0,0.0,1.2436751249312075,813.9095964894972,1.2436751249312075,2.769900300001609,PASS
