Function,Run,Seed,BestScore
F1,1,1000,0.0
F1,2,1001,0.0
F1,3,1002,0.0
F1,4,1003,0.0
F1,5,1004,0.0
F1,6,1005,0.0
F1,7,1006,0.0
F1,8,1007,0.0
F1,9,1008,0.0
F1,10,1009,0.0
F1,11,1010,0.0
F1,12,1011,0.0
F1,13,1012,0.0
F1,14,1013,0.0
F1,15,1014,0.0
F1,16,1015,0.0
F1,17,1016,0.0
F1,18,1017,0.0
F1,19,1018,0.0
F1,20,1019,0.0
F1,21,1020,0.0
F1,22,1021,0.0
F1,23,1022,0.0
F1,24,1023,0.0
F1,25,1024,0.0
F1,26,1025,0.0
F1,27,1026,0.0
F1,28,1027,0.0
F1,29,1028,0.0
F1,30,1029,0.0
F2,1,1000,0.0
F2,2,1001,0.0
F2,3,1002,0.0
F2,4,1003,0.0
F2,5,1004,0.0
F2,6,1005,0.0
F2,7,1006,0.0
F2,8,1007,0.0
F2,9,1008,0.0
F2,10,1009,0.0
F2,11,1010,0.0
F2,12,1011,0.0
F2,13,1012,0.0
F2,14,1013,0.0
F2,15,1014,0.0
F2,16,1015,0.0
F2,17,1016,0.0
F2,18,1017,0.0
F2,19,1018,0.0
F2,20,1019,0.0
F2,21,1020,0.0
F2,22,1021,0.0
F2,23,1022,0.0
F2,24,1023,0.0
F2,25,1024,0.0
F2,26,1025,0.0
F2,27,1026,0.0
F2,28,1027,0.0
F2,29,1028,0.0
F2,30,1029,0.0
F3,1,1000,0.0
F3,2,1001,0.0
F3,3,1002,0.0
F3,4,1003,0.0
F3,5,1004,0.0
F3,6,1005,0.0
F3,7,1006,0.0
F3,8,1007,0.0
F3,9,1008,0.0
F3,10,1009,0.0
F3,11,1010,0.0
F3,12,1011,0.0
F3,13,1012,0.0
F3,14,1013,0.0
F3,15,1014,0.0
F3,16,1015,0.0
F3,17,1016,0.0
F3,18,1017,0.0
F3,19,1018,0.0
F3,20,1019,0.0
F3,21,1020,0.0
F3,22,1021,0.0
F3,23,1022,0.0
F3,24,1023,0.0
F3,25,1024,0.0
F3,26,1025,0.0
F3,27,1026,0.0
F3,28,1027,0.0
F3,29,1028,0.0
F3,30,1029,0.0
F4,1,1000,0.0
F4,2,1001,0.0
F4,3,1002,0.0
F4,4,1003,0.0
F4,5,1004,0.0
F4,6,1005,0.0
F4,7,1006,0.0
F4,8,1007,0.0
F4,9,1008,0.0
F4,10,1009,0.0
F4,11,1010,0.0
F4,12,1011,0.0
F4,13,1012,0.0
F4,14,1013,0.0
F4,15,1014,0.0
F4,16,1015,0.0
F4,17,1016,0.0
F4,18,1017,0.0
F4,19,1018,0.0
F4,20,1019,0.0
F4,21,1020,0.0
F4,22,1021,0.0
F4,23,1022,0.0
F4,24,1023,0.0
F4,25,1024,0.0
F4,26,1025,0.0
F4,27,1026,0.0
F4,28,1027,0.0
F4,29,1028,0.0
F4,30,1029,0.0
F5,1,1000,28.02289834298946
F5,2,1001,28.64230324415114
F5,3,1002,26.711592204135197
F5,4,1003,28.826214399504863
F5,5,1004,28.804681130685424
F5,6,1005,27.98605481071288
F5,7,1006,28.824510933652114
F5,8,1007,27.999375551779824
F5,9,1008,27.984903150885547
F5,10,1009,28.04127944557301
F5,11,1010,26.056079496446586
F5,12,1011,28.657622386729578
F5,13,1012,28.98419468962295
F5,14,1013,28.771111277971574
F5,15,1014,27.97953504492064
F5,16,1015,27.14249923293043
F5,17,1016,27.233797922112245
F5,18,1017,28.859025130353995
F5,19,1018,28.866596212968567
F5,20,1019,28.595332426036578
F5,21,1020,28.809137028708275
F5,22,1021,28.77121654341793
F5,23,1022,28.00551703205017
F5,24,1023,28.856542727366655
F5,25,1024,28.919085956738325
F5,26,1025,28.771134544765356
F5,27,1026,28.09403720117838
F5,28,1027,28.66345701966568
F5,29,1028,27.98136697764828
F5,30,1029,28.65815052394188
F6,1,1000,0.0074982424578407085
F6,2,1001,0.08456744454184119
