Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
V1,F1,2,1001,4024102,30,500,30,0.0,70905.34012781148,0.0,1.634947699989425,PASS
V1,F1,1,1000,4024101,30,500,30,0.0,67810.20717660758,0.0,1.6703866999887396,PASS
V1,F1,3,1002,4024103,30,500,30,0.0,71382.05725267014,0.0,1.6551910000125645,PASS
V1,F1,4,1003,4024104,30,500,30,0.0,71067.53341075269,0.0,1.6932300000044052,PASS
V1,F1,6,1005,4024106,30,500,30,0.0,68827.91056515143,0.0,1.5784688999992795,PASS
V1,F1,5,1004,4024105,30,500,30,0.0,71494.67494006979,0.0,1.622695300000487,PASS
V1,F1,8,1007,4024108,30,500,30,0.0,54060.05645133964,0.0,1.6584616000036476,PASS
V1,F1,7,1006,4024107,30,500,30,0.0,70203.2929860324,0.0,1.7149184000008972,PASS
V1,F1,12,1011,4024112,30,500,30,0.0,60211.88868860319,0.0,1.6762753999937559,PASS
V1,F1,9,1008,4024109,30,500,30,0.0,70963.15903282672,0.0,1.7558350000035716,PASS
V1,F1,10,1009,4024110,30,500,30,0.0,68415.51807348001,0.0,1.769010599993635,PASS
V1,F1,11,1010,4024111,30,500,30,0.0,79775.6397390009,0.0,1.7615573999937624,PASS
V1,F1,16,1015,4024116,30,500,30,0.0,60965.044173403294,0.0,1.6323867000028258,PASS
V1,F1,13,1012,4024113,30,500,30,0.0,68582.22618939156,0.0,1.7289206999994349,PASS
V1,F1,14,1013,4024114,30,500,30,0.0,65644.03203813086,0.0,1.7542511000065133,PASS
V1,F1,15,1014,4024115,30,500,30,0.0,62548.52364809662,0.0,1.7743572000035783,PASS
V1,F1,17,1016,4024117,30,500,30,0.0,73040.90885855701,0.0,1.746795300001395,PASS
V1,F1,20,1019,4024120,30,500,30,0.0,78896.22221622002,0.0,1.8046055999875534,PASS
V1,F1,19,1018,4024119,30,500,30,0.0,59692.16515890604,0.0,1.8123606000008294,PASS
V1,F1,18,1017,4024118,30,500,30,0.0,70498.00209305885,0.0,1.8256177000002936,PASS
V1,F1,21,1020,4024121,30,500,30,0.0,81948.70656934404,0.0,1.8301882999949157,PASS
V1,F1,23,1022,4024123,30,500,30,0.0,77870.80856837892,0.0,1.7974186000064947,PASS
V1,F1,22,1021,4024122,30,500,30,0.0,64283.25200493102,0.0,1.9675570000108564,PASS
V1,F1,24,1023,4024124,30,500,30,0.0,72002.90593091116,0.0,1.9827344000077574,PASS
V1,F1,28,1027,4024128,30,500,30,0.0,71281.47829858353,0.0,1.7479166999983136,PASS
V1,F1,27,1026,4024127,30,500,30,0.0,68127.13090112404,0.0,1.7567267999984324,PASS
V1,F1,26,1025,4024126,30,500,30,0.0,67654.2390610096,0.0,1.8265053999930387,PASS
V1,F1,25,1024,4024125,30,500,30,0.0,56336.5278763339,0.0,1.8513174999970943,PASS
V1,F1,30,1029,4024130,30,500,30,0.0,77096.69700709768,0.0,1.8147304999874905,PASS
V1,F1,29,1028,4024129,30,500,30,0.0,66088.0070704646,0.0,1.8783512999943923,PASS
V1,F2,1,1000,4024201,30,500,30,0.0,360067002398.5346,0.0,1.8276635000074748,PASS
V1,F2,2,1001,4024202,30,500,30,0.0,1715602834860.7356,0.0,1.832144200001494,PASS
V1,F2,3,1002,4024203,30,500,30,0.0,702308869043.374,0.0,1.8311372000025585,PASS
V1,F2,6,1005,4024206,30,500,30,0.0,332841078922.353,0.0,1.8265400999953272,PASS
V1,F2,4,1003,4024204,30,500,30,0.0,2634424742592.452,0.0,1.8897329000028549,PASS
V1,F2,5,1004,4024205,30,500,30,0.0,2899651184.9231544,0.0,1.9192874000000302,PASS
V1,F2,8,1007,4024208,30,500,30,0.0,729704378291.7789,0.0,1.8069268000108423,PASS
V1,F2,7,1006,4024207,30,500,30,0.0,76547012233.40517,0.0,1.8733192999934545,PASS
V1,F2,9,1008,4024209,30,500,30,0.0,26401294709.697582,0.0,1.8256658000027528,PASS
V1,F2,10,1009,4024210,30,500,30,0.0,713724413990.0226,0.0,1.763913999995566,PASS
V1,F2,11,1010,4024211,30,500,30,0.0,80213629036800.12,0.0,1.7966195000044536,PASS
V1,F2,12,1011,4024212,30,500,30,0.0,39939133237.937126,0.0,1.800733499985654,PASS
V1,F2,13,1012,4024213,30,500,30,0.0,9593437258663.51,0.0,1.7943043999985093,PASS
V1,F2,14,1013,4024214,30,500,30,0.0,4038700082325.6636,0.0,1.7984676000050968,PASS
V1,F2,16,1015,4024216,30,500,30,0.0,34707708682.06033,0.0,1.7323002999910386,PASS
