Function,Dimension,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F1,100,4,1003,8000104,30,500,-100.0,100.0,0.0,0.0,276892.4541942075,0.0,5.941199400011101,PASS
F1,100,3,1002,8000103,30,500,-100.0,100.0,0.0,0.0,265489.40608131007,0.0,5.995008300000336,PASS
F1,100,2,1001,8000102,30,500,-100.0,100.0,0.0,0.0,282175.0067001475,0.0,6.096289599998272,PASS
F1,100,1,1000,8000101,30,500,-100.0,100.0,0.0,0.0,263830.7029906512,0.0,6.107798900004127,PASS
F1,100,6,1005,8000106,30,500,-100.0,100.0,0.0,0.0,286273.6687918273,0.0,6.462629599991487,PASS
F1,100,5,1004,8000105,30,500,-100.0,100.0,0.0,0.0,261169.7302934468,0.0,6.6078522999887355,PASS
F1,100,7,1006,8000107,30,500,-100.0,100.0,0.0,0.0,283513.6744169444,0.0,6.599224499994307,PASS
F1,100,8,1007,8000108,30,500,-100.0,100.0,0.0,0.0,260678.14275367014,0.0,6.6539171999902464,PASS
F1,100,12,1011,8000112,30,500,-100.0,100.0,0.0,0.0,259604.05852327953,0.0,7.3149185000074795,PASS
F1,100,10,1009,8000110,30,500,-100.0,100.0,0.0,0.0,279355.47638011427,0.0,7.386252499985858,PASS
F1,100,11,1010,8000111,30,500,-100.0,100.0,0.0,0.0,269192.84242565493,0.0,7.377060500002699,PASS
F1,100,9,1008,8000109,30,500,-100.0,100.0,0.0,0.0,274889.2776216582,0.0,7.463642899994738,PASS
F1,100,13,1012,8000113,30,500,-100.0,100.0,0.0,0.0,281421.069609549,0.0,7.253278000003775,PASS
F1,100,14,1013,8000114,30,500,-100.0,100.0,0.0,0.0,259662.3847841721,0.0,7.248876400000881,PASS
F1,100,15,1014,8000115,30,500,-100.0,100.0,0.0,0.0,295249.32804785407,0.0,7.5443418999930145,PASS
F1,100,16,1015,8000116,30,500,-100.0,100.0,0.0,0.0,272419.9065026699,0.0,7.529636899998877,PASS
F1,100,18,1017,8000118,30,500,-100.0,100.0,0.0,0.0,261673.8167561358,0.0,6.971044200006872,PASS
F1,100,20,1019,8000120,30,500,-100.0,100.0,0.0,0.0,285837.83567927504,0.0,7.022569499997189,PASS
F1,100,17,1016,8000117,30,500,-100.0,100.0,0.0,0.0,247870.40344044182,0.0,7.0800351000070805,PASS
F1,100,19,1018,8000119,30,500,-100.0,100.0,0.0,0.0,263642.5088735378,0.0,7.120357400010107,PASS
F1,100,24,1023,8000124,30,500,-100.0,100.0,0.0,0.0,263136.3661624619,0.0,7.479185200005304,PASS
F1,100,21,1020,8000121,30,500,-100.0,100.0,0.0,0.0,269351.246901772,0.0,7.726707699999679,PASS
F1,100,23,1022,8000123,30,500,-100.0,100.0,0.0,0.0,281788.1215393028,0.0,7.670773200006806,PASS
F1,100,22,1021,8000122,30,500,-100.0,100.0,0.0,0.0,285632.9469765484,0.0,7.7541772999975365,PASS
