Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
SCHO,F1,1,1000,4024101,30,500,30,-100,100,0.0,0.0,67810.20717660758,0.0,1.8186966000066604,PASS
SCHO,F1,2,1001,4024102,30,500,30,-100,100,0.0,0.0,70905.34012781148,0.0,1.841108400010853,PASS
SCHO,F1,4,1003,4024104,30,500,30,-100,100,0.0,0.0,71067.53341075269,0.0,1.865507800001069,PASS
SCHO,F1,3,1002,4024103,30,500,30,-100,100,0.0,0.0,71382.05725267014,0.0,1.8699427000101423,PASS
SCHO,F1,5,1004,4024105,30,500,30,-100,100,0.0,0.0,71494.67494006979,0.0,1.796036500003538,PASS
SCHO,F1,6,1005,4024106,30,500,30,-100,100,0.0,0.0,68827.91056515143,0.0,1.7886832000076538,PASS
SCHO,F1,8,1007,4024108,30,500,30,-100,100,0.0,0.0,54060.05645133964,0.0,1.7967143999994732,PASS
SCHO,F1,7,1006,4024107,30,500,30,-100,100,0.0,0.0,70203.2929860324,0.0,1.8170469000033336,PASS
SCHO,F1,9,1008,4024109,30,500,30,-100,100,0.0,0.0,70963.15903282672,0.0,1.9042993999901228,PASS
SCHO,F1,10,1009,4024110,30,500,30,-100,100,0.0,0.0,68415.51807348001,0.0,1.97741930000484,PASS
SCHO,F1,12,1011,4024112,30,500,30,-100,100,0.0,0.0,60211.88868860319,0.0,1.9689972999913152,PASS
SCHO,F1,11,1010,4024111,30,500,30,-100,100,0.0,0.0,79775.6397390009,0.0,1.9927196000062395,PASS
SCHO,F1,13,1012,4024113,30,500,30,-100,100,0.0,0.0,68582.22618939156,0.0,1.974151400005212,PASS
SCHO,F1,15,1014,4024115,30,500,30,-100,100,0.0,0.0,62548.52364809662,0.0,1.9348797999991802,PASS
SCHO,F1,16,1015,4024116,30,500,30,-100,100,0.0,0.0,60965.044173403294,0.0,1.913635200005956,PASS
SCHO,F1,14,1013,4024114,30,500,30,-100,100,0.0,0.0,65644.03203813086,0.0,1.948196299999836,PASS
SCHO,F1,18,1017,4024118,30,500,30,-100,100,0.0,0.0,70498.00209305885,0.0,1.9793784999928903,PASS
SCHO,F1,17,1016,4024117,30,500,30,-100,100,0.0,0.0,73040.90885855701,0.0,2.0661720999924,PASS
SCHO,F1,19,1018,4024119,30,500,30,-100,100,0.0,0.0,59692.16515890604,0.0,2.0735610999981873,PASS
SCHO,F1,20,1019,4024120,30,500,30,-100,100,0.0,0.0,78896.22221622002,0.0,2.096426899996004,PASS
SCHO,F1,21,1020,4024121,30,500,30,-100,100,0.0,0.0,81948.70656934404,0.0,1.8885296999942511,PASS
SCHO,F1,22,1021,4024122,30,500,30,-100,100,0.0,0.0,64283.25200493102,0.0,2.030762099995627,PASS
SCHO,F1,23,1022,4024123,30,500,30,-100,100,0.0,0.0,77870.80856837892,0.0,1.9868816999951378,PASS
SCHO,F1,24,1023,4024124,30,500,30,-100,100,0.0,0.0,72002.90593091116,0.0,1.9671473999915179,PASS
SCHO,F1,26,1025,4024126,30,500,30,-100,100,0.0,0.0,67654.2390610096,0.0,1.9276400999951875,PASS
SCHO,F1,25,1024,4024125,30,500,30,-100,100,0.0,0.0,56336.5278763339,0.0,1.9590748000046005,PASS
SCHO,F1,27,1026,4024127,30,500,30,-100,100,0.0,0.0,68127.13090112404,0.0,1.942192000002251,PASS
SCHO,F1,28,1027,4024128,30,500,30,-100,100,0.0,0.0,71281.47829858353,0.0,1.9645367000048282,PASS
SCHO,F1,29,1028,4024129,30,500,30,-100,100,0.0,0.0,66088.0070704646,0.0,1.8445770000107586,PASS
SCHO,F1,30,1029,4024130,30,500,30,-100,100,0.0,0.0,77096.69700709768,0.0,1.8799741999973776,PASS
SCHO,F2,2,1001,4024202,30,500,30,-10,10,0.0,0.0,1715602834860.7356,0.0,1.8909844000008889,PASS
SCHO,F2,1,1000,4024201,30,500,30,-10,10,0.0,0.0,360067002398.5346,0.0,1.9434752999950433,PASS
SCHO,F2,3,1002,4024203,30,500,30,-10,10,0.0,0.0,702308869043.374,0.0,1.9577372000057949,PASS
SCHO,F2,5,1004,4024205,30,500,30,-10,10,0.0,0.0,2899651184.9231544,0.0,1.983758200003649,PASS
SCHO,F2,4,1003,4024204,30,500,30,-10,10,0.0,0.0,2634424742592.452,0.0,2.0853458999918075,PASS
SCHO,F2,6,1005,4024206,30,500,30,-10,10,0.0,0.0,332841078922.353,0.0,2.0936008999997284,PASS
SCHO,F2,8,1007,4024208,30,500,30,-10,10,0.0,0.0,729704378291.7789,0.0,1.9455854999978328,PASS
SCHO,F2,7,1006,4024207,30,500,30,-10,10,0.0,0.0,76547012233.40517,0.0,2.0721034000016516,PASS
SCHO,F2,10,1009,4024210,30,500,30,-10,10,0.0,0.0,713724413990.0226,0.0,1.958510500000557,PASS
SCHO,F2,9,1008,4024209,30,500,30,-10,10,0.0,0.0,26401294709.697582,0.0,2.024284600003739,PASS
SCHO,F2,11,1010,4024211,30,500,30,-10,10,0.0,0.0,80213629036800.12,0.0,2.0954974999913247,PASS
SCHO,F2,13,1012,4024213,30,500,30,-10,10,0.0,0.0,9593437258663.51,0.0,2.0529882999981055,PASS
SCHO,F2,12,1011,4024212,30,500,30,-10,10,0.0,0.0,39939133237.937126,0.0,2.1071629999933066,PASS
SCHO,F2,14,1013,4024214,30,500,30,-10,10,0.0,0.0,4038700082325.6636,0.0,2.1223840000020573,PASS
SCHO,F2,18,1017,4024218,30,500,30,-10,10,0.0,0.0,2748969363192.687,0.0,2.0049138000031235,PASS
SCHO,F2,17,1016,4024217,30,500,30,-10,10,0.0,0.0,2021349198795.503,0.0,2.077680899994448,PASS
SCHO,F2,15,1014,4024215,30,500,30,-10,10,0.0,0.0,22135772844271.426,0.0,2.167616299993824,PASS
SCHO,F2,16,1015,4024216,30,500,30,-10,10,0.0,0.0,34707708682.06033,0.0,2.205026199997519,PASS
SCHO,F2,22,1021,4024222,30,500,30,-10,10,0.0,0.0,7683677948828.628,0.0,2.139159300000756,PASS
SCHO,F2,19,1018,4024219,30,500,30,-10,10,0.0,0.0,10392937112.024113,0.0,2.1842749000061303,PASS
SCHO,F2,20,1019,4024220,30,500,30,-10,10,0.0,0.0,47711548051367.61,0.0,2.215279299998656,PASS
SCHO,F2,21,1020,4024221,30,500,30,-10,10,0.0,0.0,102707326348.72324,0.0,2.221955400003935,PASS
SCHO,F2,24,1023,4024224,30,500,30,-10,10,0.0,0.0,1339473094382.0034,0.0,2.219995799998287,PASS
SCHO,F2,23,1022,4024223,30,500,30,-10,10,0.0,0.0,155737363148.78427,0.0,2.2931355000037,PASS
SCHO,F2,25,1024,4024225,30,500,30,-10,10,0.0,0.0,3865443685.5409384,0.0,2.2349889000033727,PASS
SCHO,F2,26,1025,4024226,30,500,30,-10,10,0.0,0.0,68338205734834.914,0.0,2.232871400003205,PASS
